"NIST610-5","Thu Nov 23 17:13:47 2017"
Time in Seconds,"Li7","Al27","Si29","S33","Ca44","Sc45","Ti49","V51","Cr52","Cr53","Mn55","Fe57","Co59","Ni60","Cu65","Zn66","Ga71","Ge72","As75","Rb85","Sr88","Y89","Zr90","Nb93","Mo97","In115","Sn119","Sn118","Sb121","Cs133","La139","Ce140","Nd143","Sm147","Eu151","Gd157","Tb159","Dy163","Er167","Hf178","Ta181","W183","Pb206","U238","Tc97","Sn115","Pm147","Pu238"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0.52,600,7501,300,3900,7501,2400,0,100,48848,1000,4300,1300,800,2000,800,0,0,600,300,300,300,0,100,100,0,300,100,100,100,300,0,100,100,0,100,0,200,0,100,100,300,0,0,700,0,300,0,700
1.04,1600,5601,100,4400,6401,1700,0,0,49248,1300,4200,2100,300,1800,600,0,0,1100,300,500,100,300,100,0,100,200,100,200,200,200,100,400,100,200,100,0,700,100,0,300,500,0,100,400,100,200,200,400
1.56,900,7701,800,3500,7101,1500,0,200,49248,800,3800,900,600,2200,1900,100,100,1300,200,500,100,100,0,200,100,100,0,0,100,100,800,500,0,0,0,100,400,200,100,0,300,0,100,200,100,100,0,200
2.09,800,8001,200,2900,6301,1600,100,100,49248,800,3400,700,300,1900,900,200,0,1600,400,100,200,100,0,200,0,0,0,100,200,100,100,200,0,0,0,0,100,100,0,100,300,0,0,200,0,0,0,200
2.61,800,5901,500,4900,8101,1800,100,0,48547,1000,4400,1600,200,3000,1000,100,100,1500,100,300,400,0,100,0,0,0,100,0,100,200,400,200,0,0,0,0,0,0,100,100,200,0,100,300,0,0,0,300
3.13,500,7301,200,2600,6701,1800,0,200,50451,1300,2700,800,200,2200,1300,100,0,1200,400,0,100,0,100,0,0,100,0,400,100,100,200,300,0,100,0,0,400,0,0,0,100,0,0,600,0,100,100,600
3.65,400,8001,400,3700,5901,2000,0,100,51353,900,2900,1900,300,2500,1400,0,0,800,0,400,0,200,0,100,0,100,0,100,0,100,500,0,0,0,100,0,100,100,0,200,200,0,100,400,0,100,0,400
4.17,800,6801,600,4200,6201,2300,0,100,50551,800,4900,1400,100,2400,1200,400,0,900,300,0,0,100,0,300,100,100,200,200,0,300,200,100,0,0,100,0,300,0,0,0,200,100,200,100,100,100,0,100
4.69,1400,7601,300,2900,7301,1800,0,100,49248,900,3400,600,400,2300,700,100,0,1000,200,100,300,200,0,0,0,200,100,200,200,100,200,600,0,100,100,0,300,100,0,0,0,0,0,200,0,200,100,200
5.21,400,7401,100,3900,5601,1400,0,0,52555,600,4500,1100,800,2600,900,200,0,1200,300,0,0,0,100,200,0,200,0,100,0,100,100,400,0,0,0,0,0,0,0,0,200,100,0,400,0,200,0,400
5.73,600,6201,600,3000,7701,1500,0,200,47746,900,4900,900,200,2200,1300,400,200,900,300,200,0,0,100,0,0,100,0,300,200,200,100,400,0,0,0,100,0,100,100,0,0,100,300,200,0,100,0,200
6.25,500,7501,500,3800,7801,1700,0,0,49649,900,3600,1000,200,2300,1700,0,0,700,0,300,0,300,0,300,0,0,0,100,0,700,100,100,0,0,0,0,200,0,100,0,400,0,0,300,0,0,0,300
6.78,800,8101,200,4400,6601,1500,0,0,48747,1000,3500,900,200,2300,1600,100,100,900,0,0,200,300,100,100,0,0,0,200,0,0,100,300,0,100,0,0,200,0,0,0,100,0,0,100,0,0,100,100
7.30,700,9102,400,4800,7101,1800,0,100,48948,800,5501,1100,500,3300,1600,200,200,1300,300,300,200,0,100,0,0,200,0,100,100,100,100,300,0,0,100,0,100,300,0,0,0,100,200,100,0,200,0,100
7.82,800,10002,400,4400,6601,1000,0,200,48046,1300,4600,900,200,2200,1800,100,0,1100,300,0,200,100,200,100,0,0,100,100,0,100,200,0,0,100,200,0,100,0,100,0,0,100,0,400,0,0,100,400
8.34,800,8001,100,3600,6701,2000,0,200,49349,1000,3100,1000,200,2400,1200,0,0,900,600,0,0,200,100,100,0,0,100,100,300,200,100,300,0,0,100,0,100,0,0,0,400,0,100,500,0,0,0,500
8.86,1300,7601,800,4000,6701,1200,0,0,52255,600,3600,1100,0,3600,700,0,0,600,0,0,0,200,0,100,100,100,0,200,0,0,200,0,0,0,0,0,600,0,200,0,0,100,0,0,100,100,0,0
9.38,600,7101,300,5301,7201,1300,100,100,52555,1000,4400,800,200,2700,600,0,0,1100,200,200,0,0,200,0,0,200,0,300,300,200,100,200,0,0,100,0,0,0,0,400,0,0,200,300,0,200,0,300
9.90,1300,7601,0,4000,6501,1500,0,0,47746,500,4200,900,500,2600,700,100,0,400,400,300,0,200,0,100,0,100,100,200,100,0,0,100,0,0,200,100,400,0,100,0,200,0,200,100,0,100,0,100
10.43,1300,8101,300,5101,7601,1300,0,0,52255,500,4000,800,200,3200,1700,100,300,1000,400,300,200,0,0,100,0,0,0,300,200,200,200,0,0,0,0,0,200,0,100,100,200,0,300,100,0,0,0,100
10.95,600,6301,300,3300,7801,1500,100,0,49950,500,3400,600,500,1900,1900,300,0,800,100,100,200,100,0,100,0,200,100,0,100,200,100,200,100,0,200,0,400,100,0,0,0,0,100,200,0,200,0,200
11.47,1200,7901,300,3600,6101,900,0,100,50551,700,4100,1100,500,2200,400,100,100,1800,200,100,0,500,0,0,0,400,0,100,0,0,0,300,0,100,100,0,200,100,0,0,100,0,200,400,0,400,100,400
11.99,700,9102,300,4000,6401,1000,100,0,50651,400,4400,1300,0,2400,1100,200,100,1100,200,0,0,0,0,100,0,0,0,100,0,100,500,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,100,0
12.51,900,7401,400,4100,6001,1700,0,100,51754,1100,2900,1500,200,2500,1100,0,100,600,600,0,200,0,100,0,0,0,100,0,0,400,200,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0
13.03,700,8201,300,2800,9102,1100,0,100,46543,1100,3800,500,200,2200,1100,300,100,400,100,0,500,100,0,100,0,0,100,0,100,200,200,100,0,0,0,0,100,0,0,0,600,0,0,100,0,0,0,100
13.56,1000,7701,0,3700,6801,1200,0,200,49549,700,3500,900,400,2200,800,100,100,700,0,200,0,100,0,0,0,0,100,100,0,0,0,0,0,100,0,100,300,0,0,0,300,0,300,200,0,0,100,200
14.08,400,6101,100,3200,7701,1600,0,200,48647,1200,3200,800,300,3000,1600,100,0,800,200,100,0,100,0,100,0,100,200,0,100,0,0,0,0,0,0,0,0,0,0,0,100,100,0,100,0,100,0,100
14.60,800,5301,300,4000,6701,1700,0,100,51052,600,4200,1700,300,2400,1100,100,200,1400,0,0,100,0,100,0,0,100,100,100,200,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0
15.12,900,7101,400,4700,7801,1000,0,200,48948,500,4500,800,600,2300,1500,200,0,1100,100,0,0,100,0,100,0,0,0,100,0,0,0,0,0,100,100,0,200,0,0,0,200,0,0,0,0,0,100,0
15.64,700,5000,400,3200,6901,1500,0,100,50751,1400,5301,1000,700,2700,1200,0,100,800,400,0,100,0,0,200,0,100,0,200,100,0,100,100,0,0,100,0,0,100,0,0,0,0,100,0,0,100,0,0
16.16,700,7601,200,4500,9002,2100,0,100,44139,1100,4300,1400,800,2300,1100,200,0,1200,100,100,0,0,0,0,0,0,0,100,100,0,0,100,0,0,0,100,100,0,0,100,100,0,0,100,0,0,0,100
16.68,500,7601,400,4700,7101,1100,0,300,47545,1100,4700,900,400,2300,1200,0,0,900,400,0,0,200,0,0,0,0,0,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,100,100,0,0,0,100
17.20,800,6901,300,3400,7001,1100,100,0,53557,700,4200,800,300,2400,700,100,0,1000,500,0,0,0,0,0,0,0,200,100,100,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17.73,800,7501,0,4100,7001,1700,0,0,48247,1000,4500,1200,300,2700,1000,200,200,1200,200,100,0,100,0,0,0,0,0,100,100,200,0,0,0,0,100,100,0,0,0,100,300,0,100,0,0,0,0,0
18.25,1100,7301,700,3800,7001,1600,0,0,48347,700,3900,1600,700,3100,1400,100,0,1400,500,0,500,0,0,0,0,0,0,200,100,0,200,100,0,0,100,0,300,0,0,0,0,0,0,0,0,0,0,0
18.77,600,7801,700,4900,6901,1300,0,100,51152,1000,3900,1200,100,2600,900,100,200,400,0,0,0,0,100,100,0,200,100,100,100,0,100,0,0,0,200,100,200,0,0,100,100,0,100,0,0,200,0,0
19.29,600,7801,300,3800,7401,2100,0,0,52355,1300,3700,1100,200,2800,900,100,0,900,200,0,0,0,0,0,0,200,0,200,400,100,0,100,0,100,100,0,100,0,200,0,300,0,100,0,0,200,100,0
19.81,300,6701,400,4000,7001,1600,100,100,45942,1300,3500,1500,300,3100,700,200,0,900,200,0,0,100,0,0,0,300,0,100,0,100,0,100,0,0,100,0,100,0,0,0,100,0,0,100,0,300,0,100
20.33,1100,7601,100,4400,6901,1300,200,100,49148,600,4200,700,200,2900,1000,0,0,1300,100,100,200,200,100,0,0,0,0,100,100,200,100,0,100,0,0,0,100,0,0,0,0,0,0,200,0,0,0,200
20.85,400,5201,300,3700,7301,1500,0,200,49148,500,4200,1200,400,1800,700,100,100,1200,0,0,100,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0
21.38,700,6701,300,3600,5601,1400,0,0,48848,900,3600,900,700,2400,1600,100,0,800,200,2800,9602,19808,12803,36126,4000,69396,10602,27615,41034,173601,206449,233384,38430,58067,185284,61275,394691,102008,109439,135969,441667,48347,94880,566957,4000,69396,58067,566957
21.90,39932,867184,6601,5901,587524,125012,7101,120188,114662,7901,128228,4500,81432,17606,24212,21009,73508,39131,19708,251256,445230,446858,199694,331584,28216,416541,49649,132148,155985,609644,845975,884474,127122,178535,598274,190926,1267223,334827,325505,399466,1176758,127926,238331,1461189,28216,416541,178535,1461189
22.42,82335,1929169,12303,11203,1349886,301102,16706,259136,205340,19608,290377,6901,175816,40733,49649,48347,148540,73608,39832,515256,898149,905196,406884,618661,58769,764514,87954,234797,254994,1047390,1408701,1394539,210281,265098,874326,272578,1812720,447978,430169,515664,1484080,154979,284409,1733700,58769,764514,265098,1733700
22.94,105020,2216376,16205,11102,1495215,314668,19808,275409,214416,24512,318212,7601,199594,41534,50050,47245,170781,85345,46543,569105,1007708,990022,444619,722491,61576,834809,99297,247721,285218,1118472,1508053,1518986,226320,285723,970894,292198,1995699,486080,473441,561945,1681189,173903,338780,2036825,61576,834809,285723,2036825
23.46,126620,2634349,19708,10102,1790823,380169,24812,361698,256206,24312,384433,9202,242672,54559,67190,58869,206852,97088,61075,696879,1233708,1256292,556833,900221,74210,1078575,121595,308492,406986,1440435,1911485,1888104,286634,370729,1162096,373063,2442125,594792,588240,673656,2016903,220871,414610,2468540,74210,1078575,370729,2468540
23.98,152665,3090279,19107,14904,2109822,452050,25913,406783,293311,31019,439327,12803,276015,57466,68193,73708,238634,123303,64784,837290,1398132,1352523,625632,1024469,92270,1180006,143008,367887,412678,1575742,2050368,2037259,316389,372454,1277002,377022,2621608,645015,609541,744215,2147431,229347,431085,2554573,92270,1180006,372454,2554573
24.50,150753,3156768,22010,12903,2057955,435562,23611,401397,295031,29017,438411,9802,277835,59070,70700,67391,231668,119183,71402,811046,1368667,1343242,612718,987214,86750,1195832,148540,353887,395504,1652572,2029353,2033901,320643,389206,1327957,403836,2665174,650145,636501,751632,2220521,226723,443194,2657187,86750,1195832,389206,2657187
25.03,154375,3253354,23311,16105,2230558,473237,24812,438105,291186,27715,469875,9802,293412,56464,70600,68494,237119,123002,68594,800618,1354210,1359697,599913,992518,81031,1215445,144416,361698,426914,1633583,2058280,2067171,306366,380676,1308784,390120,2683930,656611,628502,744936,2221830,243177,466309,2602786,81031,1215445,380676,2602786
25.55,152564,3176555,25013,16505,2182480,465188,28817,439428,298370,31420,472931,12903,279959,62277,74711,74611,252569,123404,69898,851457,1461295,1431757,657637,1021449,92170,1295520,153671,383722,430373,1749334,2217467,2243219,316997,423965,1403944,416236,2862840,673964,694720,829538,2422221,251660,496277,2931674,92170,1295520,423965,2931674
26.07,170077,3490925,22810,15105,2404859,519441,29818,479760,338679,31119,516787,11603,304139,64383,84442,81934,256610,137779,75113,918052,1520154,1491291,665234,1068454,100502,1393694,165043,405766,466105,1807673,2225866,2275446,327734,416135,1382814,428033,2809240,677045,661128,784829,2304100,257823,473237,2721372,100502,1393694,416135,2721372
26.59,162627,3377174,25513,13604,2196970,482716,27815,420609,308593,32121,469263,9502,288353,60473,75714,74511,245399,129535,73207,823958,1367400,1336284,603907,989086,85546,1272270,150351,364133,418880,1683326,2055354,2039208,308694,384230,1287838,388191,2617843,634860,629630,722697,2208852,236413,446756,2571371,85546,1272270,384230,2571371
27.11,162527,3204394,26714,15705,2085286,451236,29317,401702,298674,29818,453985,11002,291894,62077,73408,75514,255196,123605,70299,842460,1369828,1343136,613230,948249,86449,1240008,145522,360886,402921,1686104,2008571,2068798,299078,377123,1261652,377428,2591167,628605,614972,724652,2200240,240148,447673,2592826,86449,1240008,377123,2592826
27.63,158803,3166264,22910,16806,2098203,450829,27115,410340,297965,31920,454189,12603,298876,60674,76216,76116,237927,132852,73608,852077,1398660,1337232,627784,977753,89460,1264700,148238,370424,421422,1666023,2028378,2071075,305151,381590,1301835,410747,2658518,637321,636706,721771,2213105,241359,472524,2681488,89460,1264700,381590,2681488
28.15,171385,3344941,21209,16405,2177252,447876,30619,419694,308795,27015,470486,10002,289264,61475,72706,72906,247620,129635,65987,834499,1353894,1354527,618559,992518,94478,1280473,151659,364741,435256,1707912,2022857,2101786,308188,384535,1332172,386667,2669945,620814,625222,738035,2267467,249943,461521,2727154,94478,1280473,384535,2727154
28.67,164036,3299790,22910,16405,2201548,472422,29618,435867,306062,30919,495359,10302,299989,60874,79025,77420,257317,136371,72906,862009,1417583,1356109,634552,1033010,93976,1282682,146428,404344,452661,1703956,2059473,2073786,298370,387988,1296783,398450,2672830,665953,636706,751735,2257853,235807,484143,2708367,93976,1282682,387988,2708367
29.20,167157,3293314,24012,18807,2220194,473441,28716,441769,318820,30619,494646,10302,298066,61977,80830,77821,256307,139388,69797,896491,1395068,1388729,630245,994911,94779,1284471,154778,387378,428643,1749549,2079210,2150586,308998,395301,1307626,396825,2635790,660717,651992,707059,2327200,247317,473237,2682265,94779,1284471,395301,2682265
29.72,166956,3238724,25413,17706,2116340,459688,28416,416541,314060,30118,472218,11303,287746,59370,78724,72906,254489,131043,70198,854974,1370144,1375317,641117,1026552,99196,1310785,151960,391745,450523,1806385,2083659,2140688,325201,406478,1319106,396317,2661180,658869,645425,743906,2349224,253479,468856,2731714,99196,1310785,406478,2731714
30.24,166956,3313884,20208,19007,2142319,459179,26614,430373,306973,28016,468244,10902,293715,61075,75113,72706,245298,125715,66689,840702,1359486,1364762,606878,976922,92571,1235493,150854,378341,432306,1657802,2031735,2095706,298977,380473,1256817,391644,2566507,624094,632911,730828,2228267,253580,467531,2659738,92571,1235493,380473,2659738
30.76,159105,3229770,23211,16405,2092667,452458,24712,420914,300090,29517,472829,10802,290275,61375,77821,68393,246509,134863,74912,830055,1323426,1345878,593871,971309,85546,1221426,148238,381489,419999,1663994,2018419,2135360,295638,387480,1306047,388495,2622384,655892,629630,756578,2290316,251357,490158,2737053,85546,1221426,387480,2737053
31.28,171285,3348584,24812,15905,2226848,475785,28716,441260,312238,35525,495461,10402,326417,61776,82837,77620,265199,146830,81432,960088,1517393,1510388,697085,1103530,108535,1418217,168365,435154,487813,1863562,2250317,2288456,324290,421931,1334702,406275,2718036,680538,646451,759360,2331581,250549,488935,2728044,108535,1418217,421931,2728044
31.80,172795,3365894,22210,18207,2140144,458771,26714,420609,306771,30619,468448,11102,297965,59471,78222,74912,246307,133556,68594,867184,1373206,1377957,589264,994911,90062,1258078,145522,385855,435663,1695830,2000133,2031086,294424,369409,1271744,364031,2516374,629733,609849,679819,2111017,238533,429559,2467989,90062,1258078,369409,2467989
32.32,142706,2912964,20008,18707,1988995,423965,24312,391238,266008,29918,422744,10302,265401,57566,66488,69196,226219,111548,68694,813938,1273532,1286891,571764,927180,82235,1169740,133053,351149,404140,1562977,1938770,1958417,289770,368293,1216914,381996,2467108,598376,571458,697291,2172244,240552,458466,2602675,82235,1169740,368293,2602675
32.85,156690,3182890,23711,17606,2198169,473135,27715,440650,318516,30519,481085,10902,310719,65786,81834,73508,267625,130942,75714,904056,1437895,1388095,600937,1018326,95884,1279211,152564,382707,444924,1706415,2047984,2072702,302823,378646,1247676,378037,2521340,618251,570434,716317,2105695,222183,447367,2500714,95884,1279211,378646,2500714
33.37,141298,3027668,21209,16105,2024805,430169,22410,409222,284712,27415,438818,8702,269545,57867,74110,68795,243985,128228,68093,807225,1278265,1261757,566854,964244,87553,1184722,143410,355104,389511,1553939,1892736,1880998,282993,352974,1188180,348614,2325557,575243,554073,656714,2002296,219963,413491,2428048,87553,1184722,352974,2428048
33.89,148641,2953424,22710,17006,1936073,396418,26014,377022,284813,29017,421422,10302,273488,54660,66488,63581,235100,121093,66488,762864,1265856,1213766,551824,914942,74812,1181054,135064,346383,397231,1560531,1854633,1886812,280768,342024,1127254,355307,2308478,585579,556220,648401,1964789,219156,422032,2399587,74812,1181054,342024,2399587
34.41,142203,2937390,20208,15605,1915904,390425,24912,375600,254792,27916,414101,10402,245802,56865,63781,60674,225714,114060,65085,773483,1230138,1196566,547326,900325,85446,1172044,142203,353481,409934,1547136,1878414,1938123,281880,358249,1158641,362306,2393108,594383,562559,659177,2041917,220064,431288,2452798,85446,1172044,358249,2452798
34.93,144617,2854346,19107,15205,1946757,398349,25113,373469,287140,26614,415423,8702,265907,54660,70900,64583,225008,115064,65285,738962,1213766,1145035,532920,858388,75414,1120040,126921,338881,377022,1460342,1744300,1772054,254590,320238,1081706,329153,2240054,539969,527201,623786,1928521,208869,401092,2338484,75414,1120040,320238,2338484
35.45,136270,2783150,19107,15705,1905557,393066,23811,363017,275813,25213,410950,9502,263279,54359,64583,68093,218047,114461,65786,757917,1244840,1179063,540173,894315,84743,1148384,138885,340098,379560,1511024,1826898,1787068,263683,342733,1151314,341415,2282661,572787,542319,637834,1935857,228439,402514,2391131,84743,1148384,342733,2391131
35.97,139488,2935148,21109,18307,1944058,411662,23311,378849,288353,27415,427016,10802,269646,57165,69196,62779,231063,116772,64383,769256,1292152,1226254,563888,923757,90062,1222476,142606,358959,399161,1610772,1888643,1969110,276723,354698,1212717,360886,2486826,602063,583634,671088,2098637,233990,418677,2429807,90062,1222476,354698,2429807
36.50,149546,2965428,19808,14904,1969866,403124,23711,387480,286330,26214,443805,9702,279757,58569,73508,62979,228944,123203,65185,780806,1278896,1212402,566957,915875,86851,1151000,139890,334118,377326,1526950,1821419,1859258,272174,332800,1134156,335131,2270308,549371,558776,663694,1986725,232072,394488,2331581,86851,1151000,332800,2331581
37.02,147232,2801656,19508,14604,1888320,400787,22010,373875,275611,26514,419999,10302,256913,54760,66889,63882,219056,114261,59571,766781,1240428,1186084,543954,868115,88757,1145349,142807,335131,391644,1562232,1829692,1893274,278644,342024,1179692,347194,2343744,569309,557958,620916,1967489,223797,394285,2367098,88757,1145349,342024,2367098
37.54,146629,2904007,21509,15705,1923884,410747,25713,377529,271870,25513,418168,8802,267524,57767,69697,57666,223293,124710,67992,787098,1216074,1187656,555197,897734,87453,1161782,139991,347600,399365,1555640,1872601,1913964,267827,355916,1173406,365249,2445645,598479,580461,674580,2105370,233586,430271,2459512,87453,1161782,355916,2459512
38.06,150351,3089377,22910,13604,1989968,432306,27115,391745,287140,26114,432407,11903,275914,55061,68694,65486,230054,118782,62077,771421,1194784,1178539,536087,873394,86249,1112410,126117,335739,364944,1515695,1792969,1782563,263582,338881,1116382,314364,2223466,554073,530877,609336,1931758,211087,390730,2263534,86249,1112410,338881,2263534
38.58,131947,2760982,19608,15605,1891228,417762,23511,372555,285117,28316,424880,10402,261258,57867,76015,62177,232779,119083,68293,798037,1242844,1232133,555811,894937,89660,1162096,144315,338172,389714,1552557,1782563,1865821,256812,348512,1137816,337665,2251846,555299,556628,635988,1941576,208768,417457,2343853,89660,1162096,348512,2343853
39.10,143712,2846637,21209,17006,1926904,410848,22310,383519,277633,27515,421829,9602,262269,59771,71903,61676,217744,115265,64984,749674,1182730,1157594,515970,846286,85646,1086404,121093,329051,366162,1441917,1712618,1689203,244793,321251,1062404,329659,2177252,558673,525363,617944,1893920,205945,380676,2271729,85646,1086404,321251,2271729
39.63,140795,2826090,20809,15905,1791896,388698,22210,357640,261965,27615,402718,10302,256408,53758,73508,59370,221174,106125,62678,741022,1152360,1156966,529652,851457,78322,1090580,133656,323175,366263,1461613,1715721,1747835,247216,327836,1084107,330470,2156679,548348,514235,613742,1876906,204332,391238,2262769,78322,1090580,327836,2262769
40.15,136371,2702811,19708,14004,1775914,381996,22710,369105,258530,23511,395606,8301,242874,53658,67591,59872,224201,108636,57967,738035,1155291,1112620,497501,844528,80630,1083063,121193,325404,374890,1433239,1724281,1731987,244995,305556,1061257,324594,2140688,528018,490362,603907,1821204,209978,379052,2207326,80630,1083063,305556,2207326
40.67,129535,2642107,17706,12203,1699999,378646,22310,361089,261258,26514,390933,8501,241965,55963,62277,55862,206247,106828,59771,706134,1141059,1141268,506683,823441,72304,1073879,121394,328139,370526,1415256,1714116,1669119,243682,320238,1067202,316693,2145364,540480,505255,625222,1796832,207356,377428,2133403,72304,1073879,320238,2133403
41.19,129434,2577231,20608,13804,1689310,373367,20308,352163,262269,28817,394285,9002,258429,52555,67290,54159,221678,112051,65486,753383,1207892,1176549,534146,883956,81633,1129763,134561,344153,391339,1520897,1793935,1813686,266816,337462,1100814,345268,2231977,564707,537313,631886,1941900,218450,390628,2260365,81633,1129763,337462,2260365
41.71,131344,2661624,21109,14404,1736698,357133,21910,347803,247317,28016,383926,8401,240249,51353,66188,53357,203525,109339,59771,702946,1108858,1079514,492504,803302,69697,1049996,124610,318212,355713,1378168,1683219,1673391,247216,302519,1038115,310010,2116123,522912,508724,587012,1801125,204937,386972,2190542,69697,1049996,302519,2190542
42.23,127725,2551811,18107,14204,1697006,362104,23511,338375,245903,26314,357133,7601,231971,48747,60874,56464,194554,103614,62478,670574,1078262,1055000,462947,762246,66689,1034573,118380,301507,351250,1343664,1600546,1630384,238432,302823,1001777,304847,2023182,512194,484143,564502,1669653,188105,350540,2025780,66689,1034573,302823,2025780
