Order,Sample,Fe,CONFIDENCE
192,CS14_Bamboo_I_1,0.2026,POINT
193,CS14_Bamboo_I_2,0.2171,POINT
194,CS14_Bamboo_I_3,0.2318,POINT
195,CS14_Bamboo_I_4,0.2496,POINT
198,CS14_Bamboo_I_5,0.2414,POINT
199,CS14_Bamboo_I_6,0.2474,POINT
200,CS14_Bamboo_I_7,0.2761,POINT
201,CS14_Bamboo_I_8,0.3165,POINT
202,CS14_Bamboo_I_9,0.3164,POINT
203,CS14_Bamboo_I_10,0.3096,POINT
204,CS14_Bamboo_I_11,0.3022,POINT
205,CS14_Bamboo_I_12,0.3023,POINT
208,CS14_Bamboo_I_13,0.3074,POINT
209,CS14_Bamboo_I_14,0.3093,POINT
210,CS14_Bamboo_I_15,0.3038,POINT
211,CS14_Bamboo_I_16,0.3074,POINT
5,CS12_Beechworth_C2_1,0.354,MEAN
6,CS12_Beechworth_C2_2,0.354,MEAN
7,CS12_Beechworth_C2_3,0.354,MEAN
8,CS12_Beechworth_C2_4,0.354,MEAN
9,CS12_Beechworth_C2_5,0.354,MEAN
10,CS12_Beechworth_C2_6,0.354,MEAN
13,CS12_Beechworth_C2_7,0.354,MEAN
14,CS12_Beechworth_C2_8,0.354,MEAN
15,CS12_Beechworth_C2_9,0.354,MEAN
16,CS12_Beechworth_C2_10,0.354,MEAN
17,CS12_Beechworth_C2_11,0.354,MEAN
18,CS12_Beechworth_C2_12,0.354,MEAN
21,CS12_Beechworth_C2_13,0.354,MEAN
22,CS12_Beechworth_C2_14,0.354,MEAN
23,CS12_Beechworth_C2_15,0.354,MEAN
24,CS12_Beechworth_C2_16,0.354,MEAN
25,CS12_Beechworth_C2_17,0.354,MEAN
26,CS12_Beechworth_C2_18,0.354,MEAN
29,CS12_Beechworth_C2_19,0.354,MEAN
30,CS12_Beechworth_C2_20,0.354,MEAN
31,CS12_Beechworth_C2_21,0.354,MEAN
63,CS13_Goias_D3_1,0.0114,MEAN
64,CS13_Goias_D3_2,0.0114,MEAN
65,CS13_Goias_D3_3,0.0114,MEAN
66,CS13_Goias_D3_4,0.0114,MEAN
67,CS13_Goias_D3_5,0.0114,MEAN
68,CS13_Goias_D3_6,0.0114,MEAN
69,CS13_Goias_D3_7,0.0114,MEAN
72,CS13_Goias_D3_8,0.0114,MEAN
73,CS13_Goias_D3_9,0.0114,MEAN
74,CS12_Goias_D3_10,0.0114,MEAN
75,CS12_Goias_D3_11,0.0114,MEAN
76,CS12_Goias_D3_12,0.0114,MEAN
77,CS12_Goias_D3_13,0.0114,MEAN
78,CS12_Goias_D3_14,0.0114,MEAN
81,CS12_Goias_D3_15,0.0114,MEAN
82,CS12_Goias_D3_16,0.0114,MEAN
83,CS12_Goias_D3_17,0.0114,MEAN
84,CS12_Goias_D3_18,0.0114,MEAN
85,CS12_Goias_D3_19,0.0114,MEAN
86,CS12_Goias_D3_20,0.0114,MEAN
87,CS12_Goias_D3_21,0.0114,MEAN
90,CS12_Goias_D3_22,0.0114,MEAN
91,CS12_Goias_D3_23,0.0114,MEAN
92,CS12_Goias_D3_24,0.0114,MEAN
93,CS12_Goias_D3_25,0.0114,MEAN
94,CS12_Goias_D3_26,0.0114,MEAN
95,CS12_Goias_D3_27,0.0114,MEAN
134,CS13_Goias_B3_1,0.0114,MEAN
135,CS13_Goias_B3_2,0.0114,MEAN
138,CS13_Goias_B3_3,0.0114,MEAN
139,CS13_Goias_B3_4,0.0114,MEAN
140,CS13_Goias_B3_5,0.0114,MEAN
141,CS13_Goias_B3_6,0.0114,MEAN
142,CS13_Goias_B3_7,0.0114,MEAN
143,CS13_Goias_B3_8,0.0114,MEAN
144,CS13_Goias_B3_9,0.0114,MEAN
145,CS13_Goias_B3_10,0.0114,MEAN
148,CS13_Goias_B3_11,0.0114,MEAN
149,CS13_Goias_B3_12,0.0114,MEAN
150,CS13_Goias_B3_13,0.0114,MEAN
151,CS13_Goias_B3_14,0.0114,MEAN
152,CS13_Goias_B3_15,0.0114,MEAN
153,CS13_Goias_B3_16,0.0114,MEAN
154,CS13_Goias_B3_17,0.0114,MEAN
155,CS13_Goias_B3_18,0.0114,MEAN
158,CS13_Goias_B3_19,0.0114,MEAN
159,CS13_Goias_B3_20,0.0114,MEAN
160,CS13_Goias_B3_21,0.0114,MEAN
161,CS13_Goias_B3_22,0.0114,MEAN
162,CS13_Goias_B3_23,0.0114,MEAN
163,CS13_Goias_B3_24,0.0114,MEAN
212,CS14_Goias_J_1,0.303,POINT
213,CS14_Goias_J_2,0.0045,POINT
214,CS14_Goias_J_3,0.1092,POINT
215,CS14_Goias_J_4,0.0621,POINT
218,CS14_Goias_J_5,0.2204,POINT
219,CS14_Goias_J_6,0.2217,POINT
220,CS14_Goias_J_7,0.3102,POINT
221,CS14_Goias_J_8,0.0448,POINT
222,CS14_Goias_J_9,0.1631,POINT
223,CS14_Goias_J_10,0.1486,POINT
224,CS14_Goias_J_11,0.1212,POINT
227,CS14_Moolyella_B_1,0.1439,POINT
228,CS14_Moolyella_B_2,0.1448,POINT
229,CS14_Moolyella_B_3,0.1466,POINT
230,CS14_Moolyella_B_4,0.1548,POINT
231,CS14_Moolyella_B_5,0.1541,POINT
232,CS14_Moolyella_B_6,0.1491,POINT
233,CS14_Moolyella_B_7,0.1634,POINT
234,CS14_Moolyella_B_8,0.1667,POINT
237,CS14_Moolyella_B_9,0.1638,POINT
238,CS14_Moolyella_B_10,0.1647,POINT
239,CS14_Moolyella_B_11,0.1672,POINT
240,CS14_Moolyella_B_12,0.1808,POINT
241,CS14_Moolyella_B_13,0.1888,POINT
242,CS14_Moolyella_B_14,0.1785,POINT
243,CS14_Moolyella_B_15,0.1785,POINT
164,CS13_Poona_D4_1,0.296,MEAN
165,CS13_Poona_D4_2,0.296,MEAN
168,CS13_Poona_D4_3,0.296,MEAN
169,CS13_Poona_D4_4,0.296,MEAN
170,CS13_Poona_D4_5,0.296,MEAN
171,CS13_Poona_D4_6,0.296,MEAN
172,CS13_Poona_D4_7,0.296,MEAN
173,CS13_Poona_D4_8,0.296,MEAN
174,CS13_Poona_D4_9,0.296,MEAN
175,CS13_Poona_D4_10,0.296,MEAN
178,CS13_Poona_D4_11,0.296,MEAN
179,CS13_Poona_D4_12,0.296,MEAN
180,CS13_Poona_D4_13,0.296,MEAN
181,CS13_Poona_D4_14,0.296,MEAN
182,CS13_Poona_D4_15,0.296,MEAN
183,CS13_Poona_D4_16,0.296,MEAN
184,CS13_Poona_D4_17,0.296,MEAN
185,CS13_Poona_D4_18,0.296,MEAN
188,CS13_Poona_D4_19,0.296,MEAN
189,CS13_Poona_D4_20,0.296,MEAN
190,CS13_Poona_D4_21,0.296,MEAN
191,CS13_Poona_D4_22,0.296,MEAN
261,CS14_Tinshafts_D_1,0.3898,POINT
262,CS14_Tinshafts_D_2,0.3898,POINT
263,CS14_Tinshafts_D_3,0.4081,POINT
266,CS14_Tinshafts_D_4,0.4571,POINT
267,CS14_Tinshafts_D_5,0.4982,POINT
268,CS14_Tinshafts_D_6,0.5083,POINT
269,CS14_Tinshafts_D_7,0.5442,POINT
270,CS14_Tinshafts_D_8,0.5495,POINT
271,CS14_Tinshafts_D_9,0.5637,POINT
272,CS14_Tinshafts_D_10,0.5209,POINT
275,CS14_Tinshafts_D_11,0.4969,POINT
276,CS14_Tinshafts_D_12,0.503,POINT
277,CS14_Tinshafts_D_13,0.5187,POINT
278,CS14_Tinshafts_D_14,0.5226,POINT
279,CS14_Tinshafts_D_15,0.5213,POINT
280,CS14_Tinshafts_D_16,0.5232,POINT
281,CS14_Tinshafts_D_17,0.4448,POINT
282,CS14_Tinshafts_D_18,0.341,POINT
246,CS14_Renison_K_1,0.7082,POINT
247,CS14_Renison_K_2,0.7495,POINT
248,CS14_Renison_K_3,0.5707,POINT
249,CS14_Renison_K_4,0.6615,POINT
250,CS14_Renison_K_5,0.3996,POINT
251,CS14_Renison_K_6,0.3224,POINT
252,CS14_Renison_K_7,0.3253,POINT
253,CS14_Renison_K_8,0.4316,POINT
256,CS14_Renison_K_9,0.3055,POINT
257,CS14_Renison_K_10,0.0635,POINT
258,CS14_Renison_K_11,0.3731,POINT
259,CS14_Renison_K_12,0.7471,POINT
260,CS14_Renison_K_13,0.5771,POINT
32,CS13_Saltwater_E1_1,0.055,MEAN
33,CS13_Saltwater_E1_2,0.055,MEAN
34,CS13_Saltwater_E1_3,0.055,MEAN
37,CS13_Saltwater_E1_4,0.055,MEAN
38,CS13_Saltwater_E1_5,0.055,MEAN
39,CS13_Saltwater_E1_6,0.055,MEAN
40,CS13_Saltwater_E1_7,0.055,MEAN
41,CS13_Saltwater_E1_8,0.055,MEAN
42,CS13_Saltwater_E1_9,0.055,MEAN
43,CS13_Saltwater_E1_10,0.055,MEAN
46,CS13_Saltwater_E1_11,0.055,MEAN
47,CS13_Saltwater_E1_12,0.055,MEAN
48,CS13_Saltwater_E1_13,0.055,MEAN
49,CS13_Saltwater_E1_14,0.055,MEAN
50,CS13_Saltwater_E1_15,0.055,MEAN
51,CS13_Saltwater_E1_16,0.055,MEAN
52,CS13_Saltwater_E1_17,0.055,MEAN
55,CS13_Saltwater_E1_18,0.055,MEAN
56,CS13_Saltwater_E1_19,0.055,MEAN
57,CS13_Saltwater_E1_20,0.055,MEAN
58,CS13_Saltwater_E1_21,0.055,MEAN
59,CS13_Saltwater_E1_22,0.055,MEAN
60,CS13_Saltwater_E1_23,0.055,MEAN
98,CS13_Saltwater_E3_1,0.055,MEAN
99,CS13_Saltwater_E3_2,0.055,MEAN
100,CS13_Saltwater_E3_3,0.055,MEAN
101,CS13_Saltwater_E3_4,0.055,MEAN
102,CS13_Saltwater_E3_5,0.055,MEAN
103,CS13_Saltwater_E3_6,0.055,MEAN
104,CS13_Saltwater_E3_7,0.055,MEAN
105,CS13_Saltwater_E3_8,0.055,MEAN
108,CS13_Saltwater_E3_9,0.055,MEAN
109,CS13_Saltwater_E3_10,0.055,MEAN
110,CS13_Saltwater_E3_11,0.055,MEAN
111,CS13_Saltwater_E3_12,0.055,MEAN
112,CS13_Saltwater_E3_13,0.055,MEAN
113,CS13_Saltwater_E3_14,0.055,MEAN
114,CS13_Saltwater_E3_15,0.055,MEAN
115,CS13_Saltwater_E3_16,0.055,MEAN
118,CS13_Saltwater_E3_17,0.055,MEAN
119,CS13_Saltwater_E3_18,0.055,MEAN
120,CS13_Saltwater_E3_19,0.055,MEAN
121,CS13_Saltwater_E3_20,0.055,MEAN
122,CS13_Saltwater_E3_21,0.055,MEAN
123,CS13_Saltwater_E3_22,0.055,MEAN
124,CS13_Saltwater_E3_23,0.055,MEAN
125,CS13_Saltwater_E3_24,0.055,MEAN
128,CS13_Saltwater_E3_25,0.055,MEAN
129,CS13_Saltwater_E3_26,0.055,MEAN
130,CS13_Saltwater_E3_27,0.055,MEAN
131,CS13_Saltwater_E3_28,0.055,MEAN
132,CS13_Saltwater_E3_29,0.055,MEAN
133,CS13_Saltwater_E3_30,0.055,MEAN
