ROCK,Reference,Sample,country,Location1,Location2,Type,Sub type,Age (Ma),Wt.%,SiO2 ,TiO2,Al2O3,Fe2O3t,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,ZrO2,Nb2O5,Y2O3,B2O3,H2O,H2O+,H2O-,CO2,LOI,Total,,A/CNK,Na+K/Al,A/NK,,ppm,Mg,Mn,Ti,S,P,B,F,Cl,Li ,,Nb,Ta,Nb/Ta,Zr,Hf,Zr/Hf
MPG,Ballouard et al.2017b,PONT-14-1,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,Qtz-Fsp-Bt>Ms,315,,70.59,0.275,15.23,1.817,,,0.0258,0.571,0.873,3.627,4.66,0.37,,,,,,,,,1.16,99.2,,1.21,0.72,1.38,,,,,,,,,,,257,,6.738,1.271,5.30133753,92.63,2.955,31.34686971
MPG,Ballouard et al.2017b,PONT-14-2,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,Qtz-Fsp-Bt>Ms,315,,72.1,0.207,15.188,0.855,,,0.0124,0.29,0.571,3.405,4.685,0.36,,,,,,,,,1.54,99.21,,1.30,0.70,1.42,,,,,,,,,,,202,,6.387,1.41,4.529787234,76.53,2.479,30.87131908
MPG,Ballouard et al.2017b,PONT-14-19,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,Qtz-Fsp-Bt>Ms,315,,70.88,0.307,15.58,1.577,,,0.0184,0.514,0.639,3.218,4.89,0.3,,,,,,,,,1.89,99.8134,,1.33,0.68,1.47,,,,,,,,,,,66,,5.537,0.778,7.116966581,117.2,3.512,33.37129841
MPG,Ballouard et al.2017b,PONT-14-5,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,Qtz-Fsp-Bt>Ms,315,,73.05,0.206,14.638,1.282,,,0.0251,0.389,0.743,3.652,4.431,0.38,,,,,,,,,0.73,99.52,,1.20,0.74,1.35,,,,,,,,,,,205,,5.718,1.015,5.633497537,84.26,2.668,31.58170915
MPG,Ballouard et al.2017b,PONT-14-11,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,Qtz-Fsp-Bt>Ms,315,,71.59,0.314,15.583,1.802,,,0.0304,0.636,0.989,4.058,4.351,0.42,,,,,,,,,1.01,100.77,,1.18,0.73,1.37,,,,,,,,,,,224,,8.412,1.467,5.734151329,127.3,3.915,32.51596424
MPG,Euzen 1993,BL145,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,,315,,71.66,0.33,15.75,1.78,,,0.03,0.59,0.83,3.47,4.44,0.35,,,,,,,,,1.3,100.53,,1.31,0.67,1.50,,,,,,,,,,,,,10,1.04,9.615384615,141,3.7,38.10810811
MPG,Euzen 1993,bl72,France ,Armorican Massif,Pontivy-Rostrenen,Porphyritic leucogranite,,315,,71.15,0.24,15.36,1.516,,,0.02,0.48,0.74,3.39,4.97,0.36,,,,,,,,,1.1,99.326,,1.25,0.71,1.40,,,,,,,,,,,,,10,1.18,8.474576271,112,2.9,38.62068966
MPG,Euzen 1993,bl97,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,72.53,0.21,14.66,1.33,,,0.01,0.36,0.64,3.48,4.66,0.37,,,,,,,,,1.02,99.27,,1.23,0.73,1.36,,,,,,,,,,,,,12,1.8,6.666666667,100,2.8,35.71428571
MPG,Ballouard et al.2017b,PONT-14-10,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Ms>Bt,315,,73.33,0.153,14.608,0.979,,,0.0159,0.223,0.534,3.624,4.294,0.45,,,,,,,,,1.33,99.5409,,1.26,0.73,1.38,,,,,,,,,,,310,,9.268,2.348,3.947189097,60.63,2.073,29.24746744
MPG,Ballouard et al.2017b,PONT-14-12,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt>Ms,315,,73.07,0.153,14.603,0.904,,,0.0126,0.22,0.51,3.404,4.452,0.44,,,,,,,,,1.29,99.0586,,1.29,0.71,1.40,,,,,,,,,,,272,,9.212,2.378,3.873843566,59.72,2.041,29.26016659
MPG,Ballouard et al.2017b,PONT-14-13,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Ms> ou = Bt,315,,71.88,0.179,14.793,1.1,,,0.0192,0.278,0.555,3.476,4.769,0.47,,,,,,,,,1.34,98.8592,,1.24,0.74,1.36,,,,,,,,,,,251,,7.522,2.444,3.077741408,69.92,2.211,31.62369968
MPG,Ballouard et al.2017b,PONT-14-17,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt>Ms,315,,72.84,0.235,15.058,1.572,,,0.0154,0.445,0.685,3.382,4.798,0.39,,,,,,,,,1.05,100.4704,,1.25,0.71,1.40,,,,,,,,,,,208,,6.892,1.327,5.193669932,101,3.142,32.14513049
MPG,Ballouard et al.2017b,PONT-14-28,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt>Ms,315,,73.04,0.211,14.56,1.369,,,0.0126,0.403,0.573,2.922,5.177,0.37,,,,,,,,,1.31,99.9476,,1.27,0.72,1.40,,,,,,,,,,,120,,5.543,0.95,5.834736842,82.25,2.556,32.17918623
MPG,Ballouard et al.2017b,PONT-14-25,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt>Ms,315,,70.36,0.378,15.178,2.038,,,0.0204,0.789,0.84,3.256,5.02,0.3,,,,,,,,,1.35,99.5294,,1.23,0.71,1.41,,,,,,,,,,,110,,3.96,0.447,8.859060403,155.1,4.459,34.78358376
MPG,Ballouard et al.2017b,PONT-14-15,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Ms>Bt,315,,72.01,0.189,14.715,1.232,,,0.0148,0.327,0.558,3.335,4.946,0.42,,,,,,,,,1.34,99.0868,,1.24,0.74,1.36,,,,,,,,,,,184,,6.54,1.405,4.65480427,72.17,2.37,30.45147679
MPG,Ballouard et al.2017b,PONT-14-18,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt>Ms-,315,,71.07,0.322,15.4,1.754,,,0.0099,0.507,0.79,2.967,5.033,0.45,,,,,,,,,1.5,99.8029,,1.31,0.67,1.49,,,,,,,,,,,100,,6.199,0.679,9.129602356,137.6,4.14,33.23671498
MPG,Ballouard et al.2017b,PONT-14-3,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt=Ms,315,,72.15,0.263,15.338,1.531,,,0.0163,0.501,0.873,3.573,4.325,0.35,,,,,,,,,1.77,100.6903,,1.26,0.69,1.45,,,,,,,,,,,174,,5.496,1.193,4.606873428,101.5,3.167,32.04925797
MPG,Ballouard et al.2017b,PONT-14-6,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt>Ms,315,,71.77,0.24,15.02,1.464,,,0.0202,0.422,0.575,3.276,4.739,0.34,,,,,,,,,1.42,99.2862,,1.30,0.70,1.43,,,,,,,,,,,188,,5.687,1.045,5.442105263,96.76,2.989,32.37203078
MPG,Ballouard et al.2017b,PONT-14-14,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Ms,315,,73.42,0.09,14.415,0.381,,,0.0105,0.194,0.416,3.021,4.534,0.41,,,,,,,,,1.82,98.7115,,1.36,0.69,1.46,,,,,,,,,,,135,,6.343,2.172,2.920349908,30.66,1.214,25.2553542
MPG,Ballouard et al.2017b,PONT-14-9,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Bt>Ms Trm?,315,,73.83,0.109,15.255,0.937,,,0.0361,0.32,0.726,4.659,3.218,0.26,,,,,,,,,1.13,100.4801,,1.22,0.73,1.37,,,,,,,,,,,225,,4.875,1.798,2.71134594,58.24,2.003,29.07638542
MPG,Ballouard et al.2017b,PONT-14-26,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Ms> ou = Bt,315,,71.4,0.207,14.753,1.348,,,0.021,0.394,0.633,3.327,5.007,0.41,,,,,,,,,1.15,98.65,,1.22,0.74,1.35,,,,,,,,,,,176,,6.299,1.263,4.98733175,86.04,2.727,31.55115512
MPG,Ballouard et al.2017b,PONT-14-27,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,Qtz-Fsp-Ms> ou = Bt ou Bt>Ms,315,,71.72,0.241,15.52,1.376,,,0.0145,0.425,0.566,2.948,5.582,0.49,,,,,,,,,1.55,100.4325,,1.30,0.70,1.42,,,,,,,,,,,145,,7.558,1.51,5.005298013,97.2,3.029,32.08979861
MPG,Euzen 1993,bl164,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,71.98,0.25,14.81,1.18,,,0.01,0.34,0.43,2.21,6.06,0.41,,,,,,,,,1.57,99.25,,1.35,0.69,1.45,,,,,,,,,,,,,12,0.84,14.28571429,115,2.9,39.65517241
MPG,Euzen 1993,bl196,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,71.92,0.21,15.05,1.37,,,0.02,0.38,0.6,2.72,4.94,0.37,,,,,,,,,1.56,99.14,,1.38,0.65,1.53,,,,,,,,,,,,,12,1.89,6.349206349,104,,
MPG,Tartèse et al. 2012,GUI12,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,70.94,0.34,14.82,1.76,,,0.01,0.56,0.63,2.91,5.83,0.39,,,,,,,,,1.15,99.34,,1.21,0.75,1.34,,,,,,,,,,,,,6.6,1,6.6,154,4.27,36.06557377
MPG,Tartèse et al. 2012,GUI13,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,71.26,0.3,14.69,1.63,,,0.01,0.49,0.67,2.94,5.3,0.38,,,,,,,,,1.37,99.04,,1.25,0.72,1.39,,,,,,,,,,,,,6.4,1.07,5.981308411,132,3.67,35.96730245
MPG,Euzen 1993,BL172,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,71.43,0.15,15.41,1.29,,,0.01,0.47,0.36,2.46,5.98,0.28,,,,,,,,,1.51,99.35,,1.38,0.68,1.46,,,,,,,,,,,,,8,1.09,7.339449541,66,1.6,41.25
MPG,Euzen 1993,BL199,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,72.49,0.17,14.91,1.1,,,0.02,0.29,0.56,3.25,4.79,0.42,,,,,,,,,1.22,99.22,,1.29,0.71,1.42,,,,,,,,,,,,,15,2.5,6,84,,
MPG,Euzen 1993,BL53,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,72.89,0.17,14.9,0.87,,,0.02,0.2,0.55,3.61,4.36,0.5,,,,,,,,,1.3,99.37,,1.28,0.72,1.40,,,,,,,,,,,,,17,3.6,4.722222222,83,2.4,34.58333333
MPG,Euzen 1993,BL129,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,74.59,0.15,14.39,1,,,0.02,0.2,0.5,3.53,4.65,0.45,,,,,,,,,0.92,100.4,,1.22,0.75,1.33,,,,,,,,,,,,,15,2.4,6.25,50,1.5,33.33333333
MPG,Euzen 1993,BL193,France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,70.97,0.25,15.45,1.61,,,0.01,0.49,0.47,2.94,5.19,0.35,,,,,,,,,1.67,99.4,,1.37,0.68,1.48,,,,,,,,,,,,,10,1.49,6.711409396,112,2.9,38.62068966
MPG,Euzen 1993,BL193',France ,Armorican Massif,Pontivy-Rostrenen,Equigranular leucogranite,,315,,72.39,0.19,14.89,1.24,,,0.01,0.38,0.54,2.95,5.2,0.42,,,,,,,,,1.38,99.59,,1.30,0.70,1.42,,,,,,,,,,,,,1.67,1.29,1.294573643,86,2.2,39.09090909
MPG,Ballouard et al.2017b,PONT-14-20,France ,Armorican Massif,Pontivy-Rostrenen,Late equigranular leucogranite,Qtz-Fsp-Bt>Ms,315,,72.32,0.217,15.068,1.206,,,0.0157,0.337,0.679,3.292,4.834,0.24,,,,,,,,,1.67,99.8787,,1.27,0.71,1.42,,,,,,,,,,,119,,6.233,1.076,5.792750929,103.3,3.286,31.43639684
MPG,Ballouard et al.2017b,PONT-14-21,France ,Armorican Massif,Pontivy-Rostrenen,Late equigranular leucogranite,Qtz-Fsp-Ms,315,,74.86,0.083,14.51,0.81,,,0.0199,0.115,0.38,3.766,4.28,0.39,,,,,,,,,1.19,100.4039,,1.26,0.75,1.34,,,,,,,,,,,168,,9.354,2.102,4.450047574,36.74,1.659,22.14587101
MPG,Euzen 1993,bl111,France ,Armorican Massif,Pontivy-Rostrenen,Late equigranular leucogranite,,315,,74.4,0.08,14.59,0.77,,,0.02,0.11,0.41,3.74,4.2,0.4,,,,,,,,,0.98,99.7,,1.27,0.73,1.36,,,,,,,,,,,,,17,2.06,8.252427184,46,,
MPG,Euzen 1993,bl116,France ,Armorican Massif,Pontivy-Rostrenen,Late equigranular leucogranite,,315,,74.53,0.12,14.22,0.86,,,0.02,0.15,0.45,3.33,4.17,0.39,,,,,,,,,1.09,99.33,,1.32,0.70,1.42,,,,,,,,,,,,,16,2.09,7.655502392,54,,
MPG,Euzen 1993,bl117,France ,Armorican Massif,Pontivy-Rostrenen,Late equigranular leucogranite,,315,,74.28,0.17,14.42,1.21,,,0.01,0.33,0.37,3.02,4.54,0.35,,,,,,,,,1.3,100,,1.37,0.69,1.46,,,,,,,,,,,,,13,1.76,7.386363636,69,,
MPG,Ballouard et al. 2015,GUE-12-6,France ,Armorican Massif,Guerande,,,310,,72.54,0.121,15.433,0.381,,,0.0056,0.145,0.458,3.734,4.569,0.23,,,,,,,,,1.54,99.15,,1.29,0.72,1.39,,,,,,,,,,,,,6.701,1.48,4.527702703,45.82,1.541,29.733939
MPG,Ballouard et al. 2015,GUE-12-8,France ,Armorican Massif,Guerande,,,310,,73.28,0.101,14.968,0.779,,,0.0135,0.238,0.751,4.013,4.441,0.23,,,,,,,,,0.98,99.79,,1.17,0.76,1.31,,,,,,,,,,,,,5.702,1.318,4.326251897,45.55,1.528,29.81020942
MPG,Ballouard et al. 2015,GUE-12-4,France ,Armorican Massif,Guerande,,,310,,72.13,0.124,15.038,0.955,,,0.0147,0.236,0.783,3.781,4.606,0.25,,,,,,,,,1.04,98.95,,1.19,0.75,1.34,,,,,,,,,,,,,8.029,1.729,4.643724696,48.69,1.649,29.52698605
MPG,Ballouard et al. 2015,GUE-12-7,France ,Armorican Massif,Guerande,,,310,,72.29,0.147,14.915,0.92,,,0.0119,0.255,0.795,3.607,4.933,0.22,,,,,,,,,0.74,98.83,,1.17,0.76,1.32,,,,,,,,,,,,,5.667,0.974,5.818275154,61.47,2.002,30.7042957
MPG,Ballouard et al. 2015,GUE-12-10,France ,Armorican Massif,Guerande,,,310,,71.78,0.161,15.18,0.99,,,0.01,0.30,0.73,3.26,4.94,0.23,,,,,,,,,1.34,98.93,,1.26,0.71,1.42,,,,,,,,,,,,,6.655,1.032,6.448643411,67.17,2.029,33.10497782
MPG,Ballouard et al. 2015,GUE-12-5,France ,Armorican Massif,Guerande,,,310,,73.38,0.064,14.28,0.53,,,0.01,0.12,0.55,3.77,5.11,0.18,,,,,,,,,0.63,98.63,,1.12,0.82,1.22,,,,,,,,,,,,,4.945,1.356,3.646755162,19.6,0.727,26.96011004
MPG,Ballouard et al. 2015,GUE-12-14,France ,Armorican Massif,Guerande,,,310,,72.34,0.15,15.34,0.87,,,0.01,0.24,0.83,3.54,4.70,0.25,,,,,,,,,1,99.27,,1.24,0.71,1.41,,,,,,,,,,,,,7.963,0.636,12.52044025,58.18,1.772,32.83295711
MPG,Ballouard et al. 2015,GUE-12-16,France ,Armorican Massif,Guerande,,,310,,72.93,0.082,14.79,0.51,,,0.01,0.14,0.71,3.93,5.14,0.25,,,,,,,,,0.67,99.16,,1.11,0.81,1.23,,,,,,,,,,,,,7.016,1.266,5.541864139,47.68,1.695,28.12979351
MPG,Ballouard et al. 2015,GUE-12-17,France ,Armorican Massif,Guerande,,,310,,73.64,0.064,15.01,0.22,,,0.01,0.07,0.62,3.83,5.03,0.22,,,,,,,,,0.05,98.75,,1.17,0.78,1.28,,,,,,,,,,,,,10.64,1.76,6.045454545,36.62,1.374,26.65211063
MPG,Ballouard et al. 2015,GUE-12-12,France ,Armorican Massif,Guerande,,,310,,74.21,0.094,14.50,0.73,,,0.02,0.16,0.48,4.00,4.08,0.25,,,,,,,,,0.95,99.47,,1.22,0.76,1.32,,,,,,,,,,,,,7.749,1.449,5.347826087,32.16,1.097,29.31631723
MPG,Ballouard et al. 2015,GUE-12-11,France ,Armorican Massif,Guerande,,,310,,72.88,0.07,14.76,0.45,,,0.01,0.14,0.71,4.40,4.01,0.16,,,,,,,,,0.94,98.51,,1.15,0.78,1.28,,,,,,,,,,,,,4.679,0.611,7.657937807,33.36,1.187,28.10446504
MPG,Ballouard et al. 2015,GUE-12-13,France ,Armorican Massif,Guerande,,,310,,72.78,0.087,15.27,0.59,,,0.01,0.16,0.59,4.05,4.65,0.14,,,,,,,,,0.79,99.11,,1.20,0.77,1.31,,,,,,,,,,,,,6.344,0.804,7.890547264,22.13,0.767,28.85267275
MPG,Ballouard et al. 2015,GUE-12-15,France ,Armorican Massif,Guerande,,,310,,71.6,0.177,15.04,1.16,,,0.01,0.32,0.82,3.85,4.59,0.23,,,,,,,,,0.89,98.69,,1.18,0.75,1.33,,,,,,,,,,,,,8.613,1.553,5.546039923,80.53,2.459,32.74908499
MPG,Ballouard et al. 2015,GUE-12-20,France ,Armorican Massif,Guerande,Apical zone,,310,,75.33,0.02,14.01,0.26,,,0.01,0.06,0.21,4.68,3.63,0.14,,,,,,,,,0.84,99.1787,,1.17,0.83,1.20,,,,,,,,,,,,,8.626,3.854,2.238194084,13.27,1.1,12.06363636
MPG,Ballouard et al. 2015,GUE-12-3,France ,Armorican Massif,Guerande,Apical zone,,310,,72.53,0.115,14.95,0.68,,,0.01,0.20,0.57,3.79,4.61,0.23,,,,,,,,,1.14,98.83,,1.22,0.75,1.33,,,,,,,,,,,,,6.393,1.846,3.463163597,44.54,1.541,28.90330954
MPG,Ballouard et al. 2015,GUE-12-1,France ,Armorican Massif,Guerande,Apical zone,,310,,73.18,0.079,14.66,0.52,,,0.01,0.16,0.43,4.18,4.03,0.24,,,,,,,,,1.1,98.57,,1.22,0.77,1.30,,,,,,,,,,,,,6.811,3.414,1.995020504,30.07,1.257,23.9220366
MPG,Ballouard et al. 2015,GUE-12-2. A,France ,Armorican Massif,Guerande,Apical zone,,310,,73.49,0.059,15.01,0.67,,,0.02,0.15,0.40,4.51,3.51,0.29,,,,,,,,,1.09,99.19389,,1.26,0.75,1.34,,,,,,,,,,,,,10.57,3.308,3.19528416,18.52,0.961,19.27159209
MPG,Ballouard et al. 2015,GUE-12-9,France ,Armorican Massif,Guerande,Apical zone,,310,,72.89,0.106,15.27,0.45,,,0.01,0.16,0.62,4.07,4.26,0.21,,,,,,,,,1.19,99.23,,1.23,0.74,1.35,,,,,,,,,,,,,6.514,1.436,4.536211699,41.23,1.439,28.65184156
MPG,Ballouard et al. 2015,GUE-12-18,France ,Armorican Massif,Guerande,Apical zone,,310,,73.67,0.095,14.81,0.71,,,0.02,0.21,0.59,3.66,4.51,0.35,,,,,,,,,1.25,99.86,,1.24,0.74,1.36,,,,,,,,,,,,,11.39,3.971,2.86829514,38.19,1.408,27.12357955
MPG,Tartèse and Boulvais 2010,GRT17,France ,Armorican Massif,Lizio,,,315,,71.74,0.24,15.35,1.42,,,0.02,0.47,0.91,3.43,5.34,0.27,,,,,,,,,1.34,100.53,,1.17,0.74,1.34,,,,,,,,,,,,,5.1,0.79,6.455696203,100,2.89,34.60207612
MPG,Tartèse and Boulvais 2010,LRT13,France ,Armorican Massif,Lizio,,,315,,71.85,0.25,15.38,1.52,,,0.02,0.48,0.82,3.25,5.19,0.31,,,,,,,,,1.76,100.83,,1.23,0.71,1.40,,,,,,,,,,,,,7.3,1.71,4.269005848,105,3.1,33.87096774
MPG,Tartèse and Boulvais 2010,LRT12,France ,Armorican Massif,Lizio,,,315,,71.98,0.24,14.84,1.52,,,0.02,0.45,1.04,3.4,4.82,0.26,,,,,,,,,1.44,100.01,,1.17,0.73,1.37,,,,,,,,,,,,,6,1.16,5.172413793,106,3.14,33.75796178
MPG,Tartèse and Boulvais 2010,LRT15,France ,Armorican Massif,Lizio,,,315,,72.41,0.22,15.35,1.36,,,0.02,0.39,0.72,3.41,5.1,0.29,,,,,,,,,1.48,100.75,,1.23,0.73,1.38,,,,,,,,,,,,,6,1.17,5.128205128,96,2.79,34.40860215
MPG,Tartèse and Boulvais 2010,LRT10,France ,Armorican Massif,Lizio,,,315,,72.82,0.19,15.26,1.32,,,0.02,0.38,0.67,3.49,4.79,0.33,,,,,,,,,1.63,100.9,,1.26,0.72,1.40,,,,,,,,,,,,,6.8,1.33,5.112781955,73,2.29,31.87772926
MPG,Tartèse and Boulvais 2010,LRT14,France ,Armorican Massif,Lizio,,,315,,72.82,0.22,15.55,0.67,,,0.01,0.29,0.47,2.96,5.17,0.28,,,,,,,,,2.4,100.84,,1.37,0.67,1.49,,,,,,,,,,,,,6.8,1.47,4.62585034,87,2.59,33.59073359
MPG,Tartèse and Boulvais 2010,GRT16,France ,Armorican Massif,Lizio,,,315,,72.98,0.19,14.94,1.23,,,0.02,0.36,0.75,3.61,4.8,0.4,,,,,,,,,1.22,100.5,,1.20,0.75,1.34,,,,,,,,,,,,,5.1,0.84,6.071428571,72,2.13,33.8028169
MPG,Tartèse and Boulvais 2010,LRT11,France ,Armorican Massif,Lizio,,,315,,73.33,0.17,14.87,1.34,,,0.03,0.36,0.61,3.44,4.61,0.28,,,,,,,,,1.46,100.5,,1.26,0.72,1.40,,,,,,,,,,,,,7.7,2.09,3.684210526,68,2.28,29.8245614
MPG,Tartèse and Boulvais 2010,QRT08,France ,Armorican Massif,Questembert,,,315,,72.87,0.18,14.8,1.24,,,0.02,0.31,0.62,3.31,4.93,0.35,,,,,,,,,1.32,99.95,,1.24,0.73,1.37,,,,,,,,,,,,,8.4,1.52,5.526315789,86,2.62,32.82442748
MPG,Tartèse and Boulvais 2010,QRT09,France ,Armorican Massif,Questembert,,,315,,73.41,0.12,15.62,0.61,,,0.02,0.2,0.53,3.32,4.54,0.41,,,,,,,,,1.54,100.32,,1.38,0.66,1.51,,,,,,,,,,,,,12.8,3.63,3.526170799,42,1.63,25.76687117
MPG,Tartèse and Boulvais 2010,QRT06,France ,Armorican Massif,Questembert,,,315,,73.51,0.09,14.73,0.93,,,0.03,0.22,0.64,3.53,4.49,0.35,,,,,,,,,1.24,99.76,,1.25,0.72,1.38,,,,,,,,,,,,,9.4,3.15,2.984126984,40,1.53,26.14379085
MPG,Tartèse and Boulvais 2010,QRT01,France ,Armorican Massif,Questembert,,,315,,73.53,0.14,14.82,1.05,,,0.02,0.29,0.6,3.53,4.85,0.26,,,,,,,,,1.18,100.27,,1.22,0.75,1.34,,,,,,,,,,,,,10.4,1.79,5.810055866,61,1.97,30.96446701
MPG,Tartèse and Boulvais 2010,QRT07,France ,Armorican Massif,Questembert,,,315,,73.64,0.07,14.87,0.56,,,0.03,0.14,0.48,3.64,4.27,0.3,,,,,,,,,1.26,99.26,,1.29,0.71,1.40,,,,,,,,,,,,,9.3,2.68,3.470149254,31,1.27,24.40944882
MPG,Tartèse and Boulvais 2010,QRT05,France ,Armorican Massif,Questembert,,,315,,73.99,0.06,15.05,0.61,,,0.03,0.14,0.49,3.75,4.29,0.32,,,,,,,,,1.25,99.98,,1.29,0.72,1.39,,,,,,,,,,,,,10,3.42,2.923976608,32,1.3,24.61538462
MPG,Tartèse and Boulvais 2010,QRT02,France ,Armorican Massif,Questembert,,,315,,74.24,0.05,14.66,0.79,,,0.07,0.15,0.43,3.64,4.28,0.28,,,,,,,,,1.37,99.96,,1.29,0.72,1.38,,,,,,,,,,,,,10.3,3.89,2.64781491,25,1.03,24.27184466
