Sample ID,SAMPLE,STYLE,Spot ID,IS,Ca_ppm_m44,Sc_ppm_m45,Ti_ppm_m49,Mn_ppm_m55,Fe_ppm_m57,Zr_ppm_m90,Nb_ppm_m93,Sn_ppm_m119,Sb_ppm_m121,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m143,Sm_ppm_m147,Eu_ppm_m151,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m161,Y_ppm_m89,Ho_ppm_m165,Er_ppm_m167,Tm_ppm_m169,Yb_ppm_m171,Lu_ppm_m175,Hf_ppm_m179,Ta_ppm_m181,W_ppm_m183,Pb_ppm_m208,Bi_ppm_m209,Th_ppm_m232,U_ppm_m238,Ca_ppm_m44_LOD,Sc_ppm_m45_LOD,Ti_ppm_m49_LOD,Mn_ppm_m55_LOD,Fe_ppm_m57_LOD,Zr_ppm_m90_LOD,Nb_ppm_m93_LOD,Sn_ppm_m119_LOD,Sb_ppm_m121_LOD,La_ppm_m139_LOD,Ce_ppm_m140_LOD,Pr_ppm_m141_LOD,Nd_ppm_m143_LOD,Sm_ppm_m147_LOD,Eu_ppm_m151_LOD,Gd_ppm_m157_LOD,Tb_ppm_m159_LOD,Dy_ppm_m161_LOD,Y_ppm_m89_LOD,Ho_ppm_m165_LOD,Er_ppm_m167_LOD,Tm_ppm_m169_LOD,Yb_ppm_m171_LOD,Lu_ppm_m175_LOD,Hf_ppm_m178_LOD,Ta_ppm_m181_LOD,W_ppm_m183_LOD,Pb_ppm_m208_LOD,Bi_ppm_m209_LOD,Th_ppm_m232_LOD,U_ppm_m238_LOD
#169508,Greenbushes - B,Pegmatite,GB04F_01,119Sn,52.76,74.05,2020.45,57.99,2298.44,574.36,1497.92,791454.31,8,0.003,0.023,0.002,0.035,-,0.054,1.359,0.241,0.012,0.024,0.019,0.006,0.003,0.013,0.003,223.29,12095.75,13.62,0.393,0.014,0.006,3.17,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169508,Greenbushes - B,Pegmatite,GB04F_02,119Sn,42.37,109.2,1815.5,131.99,3328.62,638.61,2530.86,653594.06,30.46,0.001,0.002,0.001,0.004,0.009,-,1.244,0.203,0.007,0.022,0.002,0.009,-,0.016,0.001,228.06,18699.85,18.11,0.133,0.316,0.034,4.2,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169508,Greenbushes - B,Pegmatite,GB04F_03,119Sn,44.17,118.15,2060.47,118.46,3648.02,621.01,2869.15,647840.69,5.59,-,0.002,0.003,0.021,0.005,0.004,1.097,0.201,0.004,0.029,-,0.005,0.004,0.017,0.002,200.87,19194.27,23.65,0.037,0.009,0.013,5.36,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169508,Greenbushes - B,Pegmatite,GB04F_04,119Sn,57.02,133.07,2465.63,261.38,3967.33,768.54,3284.9,816268.38,54.78,0.005,0.028,0.006,0.046,0.024,0.004,1.6,0.25,0.031,0.023,-,0.01,0.013,0.018,0.003,245.88,21551.62,34.53,0.192,0.163,0.073,7.3,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169508,Greenbushes - B,Pegmatite,GB04F_05,119Sn,52.7,140.03,2276.87,553.79,3865.46,756.24,3217,775004.56,388.3,0.003,0.005,0.002,0.019,-,0.003,1.263,0.259,0.008,0.025,-,-,0.002,0.036,0.002,243.15,23458.68,40.59,0.138,0.096,0.043,8.42,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169508,Greenbushes - B,Pegmatite,GB04F_06,119Sn,25.95,24.58,858.69,30.84,869.07,221.31,567.94,428684.72,6.57,0.003,0.002,0.002,-,-,-,0.828,0.134,0.002,0.014,-,0.009,-,0.007,-,104.98,5368.04,3.46,0.129,0.005,0.008,0.88,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_02,119Sn,80.26,0.77,386.36,203.24,4902.01,1387.97,4194.58,648323.94,1.061,0.009,0.01,0.007,0.026,0.018,0.005,1.227,0.193,0.018,0.241,0.008,0.017,0.008,0.151,0.029,414.43,16112.94,4.5,0.015,0.002,0.005,11.02,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_04,119Sn,91.04,0.83,454.2,175.16,4788.65,1587.97,4343.59,764263.06,1.54,0.006,0.033,0.005,0.03,0.02,-,1.487,0.255,0.028,0.276,0.005,0.032,0.011,0.214,0.041,458.31,14850.4,4.14,0.032,0.003,0.006,10.15,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_06,119Sn,82.12,1.48,500.88,176.27,5303.86,1528.04,5573.57,730156,1.04,0.042,0.07,0.015,0.044,0.008,0.005,1.498,0.262,0.06,0.374,0.011,0.017,0.012,0.205,0.047,373.09,13923.35,7.46,0.144,0.003,0.175,14.39,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_08,119Sn,65.95,0.89,368.39,133.68,3995.51,1192.39,3877.42,550854.56,0.753,0.008,0.009,0.004,0.041,0.027,0.004,0.998,0.18,0.024,0.203,0.006,0.019,0.01,0.151,0.024,316.06,11504.2,4.16,0.011,0.002,0.001,9.48,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_10,119Sn,91.29,1.25,512.94,168.26,5296.79,1599.17,5413.12,780481.31,1.089,0.01,0.016,0.004,0.039,0.028,0.005,1.581,0.278,0.021,0.328,0.007,0.035,0.013,0.227,0.041,410.68,14806.25,5.86,0.015,0.004,0.002,13.39,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_12,119Sn,44.64,0.66,267.46,91.33,2911.55,809.03,3068.12,377248.66,0.477,0.003,0.01,0.001,0.019,0.011,0.002,0.709,0.124,0.024,0.158,0.004,0.014,0.007,0.113,0.022,195.93,7787.19,3.76,0.015,0.002,0.001,8.17,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_14,119Sn,92.46,1.68,564.16,143.53,5089.26,1695.57,5185.28,838330.88,1.058,0.005,0.012,0.004,0.032,0.027,0.007,1.671,0.284,0.019,0.356,0.006,0.033,0.013,0.209,0.044,456.02,14691.47,4.12,0.017,0.004,0.002,13.79,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_16,119Sn,98.63,2.48,604.92,177.68,6432.26,1700.79,6903.55,828576.5,1.028,0.01,0.034,0.011,0.039,0.02,0.008,1.753,0.287,0.042,0.448,0.01,0.042,0.019,0.276,0.049,415.96,17481.44,8.5,0.035,0.003,0.005,17.02,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_18,119Sn,76.44,2.23,561.84,189.09,6589.11,1503.75,6922.38,649224.5,0.79,0.004,0.012,0.004,0.031,0.024,0.006,1.366,0.223,0.037,0.408,0.007,0.035,0.017,0.303,0.056,358.22,17516.76,10.7,0.013,0.028,0.002,18.04,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169518,Moolyella - MY02,Pegmatite,MY02_20,119Sn,89.04,1.82,542.77,138.96,5145.42,1483.55,5087.58,783090.94,0.887,0.008,0.015,0.008,0.054,0.028,0.005,1.549,0.286,0.037,0.325,0.009,0.02,0.011,0.211,0.04,394.16,13967.5,5.54,0.043,0.004,0.002,11.08,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169517,Moolyella - MY03,Pegmatite,MY03_01,119Sn,54.58,1.87,517.68,192.64,6849.01,1581.86,6436.4,724981.06,0.464,0.008,0.005,0.003,0.024,0.019,0.004,1.37,0.224,0.083,0.367,0.01,0.042,0.017,0.368,0.06,417.8,25507.01,11.23,0.01,0.003,0.002,15.91,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169517,Moolyella - MY03,Pegmatite,MY03_02,119Sn,45.64,1.5,440.77,161.76,5916.19,1383.79,5753.1,622992.56,0.373,0.002,0.003,-,-,0.012,-,1.109,0.201,0.019,0.387,0.007,0.041,0.015,0.275,0.056,368.32,21984.24,10.65,0.005,-,0.001,14.51,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169517,Moolyella - MY03,Pegmatite,MY03_03,119Sn,57.43,1.86,539.07,198.77,7175.47,1707.68,7309.19,756253.13,0.412,0.003,0.003,0.021,0.018,0.013,0.004,1.37,0.243,0.055,0.502,0.012,0.053,0.019,0.309,0.061,438.21,25551.16,13.6,0.005,0.005,0.002,18.72,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169517,Moolyella - MY03,Pegmatite,MY03_04,119Sn,57.85,1.52,493.03,163.51,6206.91,1545.1,6421.96,734429.06,0.402,0.032,0.005,0.003,0.031,0.014,0.002,1.34,0.235,0.037,0.421,0.01,0.051,0.016,0.315,0.052,401.28,21940.09,10.14,0.001,0.003,0.001,16.47,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169517,Moolyella - MY03,Pegmatite,MY03_05,119Sn,54.12,1.68,493.11,161.16,6175.96,1525.03,6270.19,745459.38,0.439,0.307,0.274,0.057,0.154,0.027,0.004,1.316,0.259,0.039,0.427,0.006,0.044,0.012,0.304,0.06,402.33,22452.18,10.31,0.129,0.002,0.093,15.4,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169517,Moolyella - MY03,Pegmatite,MY03_06,119Sn,48.13,1.31,472.71,166.75,6091.13,1446.19,6230.89,668208.31,0.409,0.01,0.01,0.005,0.015,0.017,0.006,1.275,0.209,0.067,0.396,0.007,0.036,0.018,0.335,0.053,381.94,22717.04,10.65,0.009,0.002,0.001,15.97,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169517,Moolyella - MY03,Pegmatite,MY03_07,119Sn,49.81,1.93,531.93,193.61,7058.01,1631.4,6959.88,726563.19,0.682,0.008,0.004,0.003,0.034,0.012,0.004,1.198,0.223,0.063,0.538,0.01,0.059,0.024,0.333,0.064,428.85,26054.41,13.84,0.012,0.033,0.007,18.31,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169517,Moolyella - MY03,Pegmatite,MY03_08,119Sn,53.89,1.84,511.69,287.45,7153.59,1604.85,7175.1,709938,0.486,0.007,0.013,0.004,0.09,0.018,0.053,1.184,0.237,0.058,0.512,0.013,0.038,0.021,0.387,0.058,428.39,26592.98,13.44,0.018,0.055,0.012,18.85,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169517,Moolyella - MY03,Pegmatite,MY03_10,119Sn,124.02,0.83,737.84,85.53,4131.1,2069.39,3806.69,1957873.88,1.13,3.36,4.12,0.423,1.46,0.257,0.006,3.32,0.56,0.045,0.48,0.012,0.05,0.012,0.115,0.019,669.09,13587.85,3.92,1.91,0.052,0.524,8.67,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169527,Mount Francisco,Pegmatite,MF01_01,119Sn,59.74,19.6,1233.7,39.96,1060.49,606.46,665.11,652384,0.48,0.007,0.018,0.004,0.038,0.024,0.004,1.294,0.201,0.017,0.267,0.007,0.041,0.015,0.167,0.026,202.24,5394.53,0.488,0.017,0.005,0.005,0.122,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169527,Mount Francisco,Pegmatite,MF01_02,119Sn,78.47,28.46,4249.5,117.55,3676.77,824.46,2112.65,801318.81,0.7,0.007,0.02,0.012,0.053,0.028,0.032,1.673,0.296,0.275,1.59,0.032,0.065,0.031,0.33,0.066,241.97,16660.34,2.86,0.172,0.005,0.435,7.28,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169527,Mount Francisco,Pegmatite,MF01_03,119Sn,96.09,40.32,4904.55,99.62,3244.58,987.27,2444.06,1069744.75,0.796,0.014,0.021,0.008,0.055,0.028,0.009,2.07,0.34,0.057,0.715,0.008,0.034,0.021,0.27,0.054,249.64,13790.92,2.56,0.508,0.007,0.014,4.34,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169527,Mount Francisco,Pegmatite,MF01_04,119Sn,69.6,3.86,1641.97,162.9,4302.41,2021.59,5317.2,739889.56,0.496,0.005,0.012,0.007,0.041,0.024,0.003,1.437,0.258,0.013,0.145,0.003,0.01,0.002,0.029,0.002,451.69,14064.62,10.09,0.018,0.003,0.002,11.95,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169527,Mount Francisco,Pegmatite,MF01_05,119Sn,56.12,3.41,1266.58,119.23,3147.26,1406.64,3911.13,614725,0.507,0.006,0.007,0.005,0.037,0.023,0.004,1.27,0.205,0.013,0.07,0.003,0.008,0.002,0.018,0.003,325.59,10497.69,8.62,0.15,0.003,0.001,8.23,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169527,Mount Francisco,Pegmatite,MF01_06,119Sn,59.23,3.72,1507.09,134.54,3697.55,1552.21,4843.42,649094.56,0.194,0.006,0.009,0.005,0.031,0.022,0.008,1.19,0.215,0.015,0.125,0.002,0.017,0.002,0.015,0.005,339.28,10965.63,12.4,0.017,0.003,0.001,9.11,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169527,Mount Francisco,Pegmatite,MF01_07,119Sn,57.79,3.41,1460.91,142.87,3926.41,1492.38,4818.66,619335.5,0.413,0.007,0.004,0.005,0.055,0.014,0.007,1.094,0.197,0.013,0.091,0.003,0.007,-,0.014,0.003,324.4,11495.37,14.3,0.031,0.005,0.002,9.45,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169527,Mount Francisco,Pegmatite,MF01_09,119Sn,84.75,4.23,1956.33,172.64,4910.87,2022,5851.67,875755.63,0.551,0.009,0.008,0.006,0.046,0.026,0.004,1.735,0.3,0.007,0.126,0.003,0.01,0.003,0.028,0.003,465.6,14585.53,14.93,0.014,0.004,0.002,9.76,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169527,Mount Francisco,Pegmatite,MF01_10,119Sn,88.39,3.98,1929.93,150.74,4331.79,1919.15,5188.38,948539,0.605,0.012,0.018,0.006,0.056,0.031,0.008,1.811,0.304,0.041,0.118,0.003,0.016,0.002,0.012,0.003,444.68,13358.29,12.56,0.019,0.003,0.003,8.41,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
#169527,Mount Francisco,Pegmatite,MF01_11,119Sn,98.86,4.23,2147.59,144.71,4416.02,2135.97,5635.12,1058170.25,0.704,0.012,0.053,0.008,0.054,0.054,0.005,2.14,0.35,0.024,0.173,0.003,0.014,0.003,0.019,0.004,470.69,13005.13,13.8,0.016,0.006,-,9.32,85,0.6,1.3,0.8,33,0.04,0.1,0.02,0.2,0.04,0.007,0.008,0.006,0.04,0.03,0.008,0.04,0.004,0.02,0.004,0.01,0.003,0.02,0.003,0.01,0.01,0.05,0.02,0.008,0.004,0.005
