Sample ID,SAMPLE,LOCALITY,STYLE,SPOT_ID,IS,Ca_ppm_m44,Sc_ppm_m45,Ti_ppm_m49,Mn_ppm_m55,Fe_ppm_m57,Y_ppm_m89,Zr_ppm_m90,Nb_ppm_m93,Sn_ppm_m119,Sb_ppm_m121,La_ppm_m139,Ce_ppm_m140,Pr_ppm_m141,Nd_ppm_m143,Sm_ppm_m147,Eu_ppm_m151,Gd_ppm_m157,Tb_ppm_m159,Dy_ppm_m161,Ho_ppm_m165,Er_ppm_m167,Tm_ppm_m169,Yb_ppm_m171,Lu_ppm_m175,Hf_ppm_m179,Ta_ppm_m181,W_ppm_m183,Pb_ppm_m208,Bi_ppm_m209,Th_ppm_m232,U_ppm_m238,Ca44_ERR,Sc45_ERR,Ti49_ERR,Mn55_ERR,Fe57_ERR,Y89_ERR,Zr90_ERR,Nb93_ERR,Sn119_ERR,Sb121_ERR,La139_ERR,Ce140_ERR,Pr141_ERR,Nd143_ERR,Sm147_ERR,Eu151_ERR,Gd157_ERR,Tb159_ERR,Dy161_ERR,Ho165_ERR,Er167_ERR,Tm169_ERR,Yb171_ERR,Lu175_ERR,Hf178_ERR,Ta181_ERR,W183_ERR,Pb208_ERR,Bi209_ERR,Th232_ERR,U238_ERR,Ca_ppm_m44_LOD,Sc_ppm_m45_LOD,Ti_ppm_m49_LOD,Mn_ppm_m55_LOD,Fe_ppm_m57_LOD,Zr_ppm_m90_LOD,Nb_ppm_m93_LOD,Sn_ppm_m119_LOD,Sb_ppm_m121_LOD,La_ppm_m139_LOD,Ce_ppm_m140_LOD,Pr_ppm_m141_LOD,Nd_ppm_m143_LOD,Sm_ppm_m147_LOD,Eu_ppm_m151_LOD,Gd_ppm_m157_LOD,Tb_ppm_m159_LOD,Dy_ppm_m161_LOD,Y_ppm_m89_LOD,Ho_ppm_m165_LOD,Er_ppm_m167_LOD,Tm_ppm_m169_LOD,Yb_ppm_m171_LOD,Lu_ppm_m175_LOD,Hf_ppm_m178_LOD,Ta_ppm_m181_LOD,W_ppm_m183_LOD,Pb_ppm_m208_LOD,Bi_ppm_m209_LOD,Th_ppm_m232_LOD,U_ppm_m238_LOD,Ca44_CPS,Sc45_CPS,Ti49_CPS,Mn55_CPS,Fe57_CPS,Y89_CPS,Zr90_CPS,Nb93_CPS,Sn119_CPS,Sb121_CPS,La139_CPS,Ce140_CPS,Pr141_CPS,Nd143_CPS,Sm147_CPS,Eu151_CPS,Gd157_CPS,Tb159_CPS,Dy161_CPS,Ho165_CPS,Er167_CPS,Tm169_CPS,Yb171_CPS,Lu175_CPS,Hf178_CPS,Ta181_CPS,W183_CPS,Pb208_CPS,Bi209_CPS,Th232_CPS,U238_CPS
#169505,GB04,Greenbushes,Pegmatite,GB04A_02,119Sn,<9.17,9.92,157.4,191.13,753.54,0.0075,117.79,581.64,121574.55,17.44,<0.00056,0.00019,0.00071,<0.00,<0.00,<0.00058,0.225,0.0363,<0.00199,0.0002,0.00191,<0.00034,<0.0024,0.00091,44.83,4838.3,5.74,0.0274,0.00786,0.0237,1.469,5.5,1.41,19.9,24.07,102.19,0.002,7.52,35.76,5706.69,1.03,0.00024,0.00011,0.00027,<0.00,<0.00,0.00021,0.012,0.0018,0.00099,0.0001,0.00059,0.00013,0.0011,0.00022,1.49,153,0.22,0.0018,0.00076,0.0013,0.056,9.17,0.0608,0.62,0.097,3.81,0.00419,0.00867,<0.00000,0.0238,0.00184,0.00056,<0.00000,0.0005,<0.00000,<0.00000,0.00058,0.00454,0.00047,0.00199,<0.00000,<0.00000,0.00034,0.00243,0.00025,0.00083,0.00074,<0.00000,<0.00000,0.00064,<0.00000,0.00022,0,12689,12373,243047,20076,31,237312,2177269,83613192,33150,0,1,8,0,0,0,423,470,3,2,6,0,1,12,188216,64824356,9452,185,85,358,23400
#169505,GB04,Greenbushes,Pegmatite,GB04A_03,119Sn,<24.10,23.49,2841.19,459.9,2006.7,0.127,303.67,1402.76,322941,19.24,0.1355,0.258,0.0347,0.171,0.0394,0.0108,0.647,0.097,0.0344,0.00423,0.0218,0.0159,0.0309,0.00515,120.71,13040.45,25.04,0.857,0.286,0.1694,2.96,10.05,3.34,358.8,57.93,272.17,0.012,19.4,86.25,15158.82,1.14,0.0075,0.012,0.0026,0.016,0.0069,0.0018,0.035,0.005,0.0053,0.00086,0.0039,0.0015,0.0062,0.00081,4.02,412.38,0.93,0.034,0.012,0.0073,0.11,24.1,0.16,0.468,0.25,10.37,0.0126,0.0288,0.00347,0.0654,0.0108,<0.00000,<0.00000,0.00076,0.00649,0.00716,<0.00000,0.0169,<0.00000,0.00371,0.00099,0.00397,<0.00000,0.00783,<0.00000,0.00309,0.00376,0.00789,0.00271,0.00146,<0.00000,0.001,0,10845,80632,211129,19300,194,220861,1895653,80181240,13208,428,851,151,87,25,23,439,453,30,20,25,83,22,26,182981,63074764,14883,2094,1127,924,17043
#169505,GB04,Greenbushes,Pegmatite,GB04A_04,119Sn,<23.65,24.77,433.2,456.9,1976.36,<0.0097,324.15,1523.46,350924.53,45.82,<0.00173,<0.00214,0.0008,<0.0107,<0.0048,<0.00145,0.68,0.1032,0.0073,<0.00066,<0.0038,<0.00,0.0038,<0.0034,128.62,13093.42,12.86,0.0527,0.1752,0.0819,3.72,12.75,3.52,54.78,57.55,268.05,0.0044,20.71,93.67,16472.36,2.7,0.00072,0.00077,0.00045,0.0049,0.0022,0.00067,0.035,0.0053,0.0023,0.00031,0.002,<0.00,0.0018,0.0011,4.28,414.05,0.49,0.0042,0.0082,0.0042,0.14,23.65,0.154,0.295,0.253,10.12,0.00966,0.0268,0.00662,0.0742,0.00798,0.00173,0.00214,0.00072,0.0107,0.00482,0.00145,0.00465,<0.00000,<0.00000,0.00066,0.00378,<0.00000,<0.00000,0.00343,<0.00000,0.00092,0.00752,0.00224,<0.00000,0.00058,<0.00000,0,11704,12585,214712,19458,13,241331,2107451,89189864,32196,0,0,3,2,0,0,472,494,6,0,3,0,2,0,199571,64828868,7823,131,706,457,21898
#169505,GB04,Greenbushes,Pegmatite,GB04A_05,119Sn,<19.41,26.32,443.92,461.95,2224.76,0.0168,325.17,1583.18,332806.88,21.56,0.0016,0.00167,<0.00112,<0.0083,<0.0037,<0.00,0.598,0.1073,<0.00,<0.00145,0.0058,0.00052,0.0094,<0.00151,131.38,14638.5,20.73,0.0724,0.016,0.0958,4.11,10.23,3.75,56.18,58.19,301.82,0.0052,20.78,97.34,15621.94,1.28,0.00087,0.00093,0.00067,0.0034,0.0021,<0.00,0.036,0.006,<0.00,0.00065,0.0021,0.0003,0.0035,0.00084,4.38,462.92,0.78,0.0058,0.0021,0.0052,0.16,19.41,0.129,0.334,0.205,8.12,0.00812,0.0199,0.00443,0.0502,0.00943,0.00109,0.00128,0.00112,0.00829,0.00373,<0.00000,0.00805,<0.00000,<0.00000,0.00145,<0.00000,<0.00000,<0.00000,0.00151,0.00161,0.00189,0.0101,<0.00000,0.00088,0.00078,0.0048,0,13730,14235,239621,24178,29,267231,2417453,93367080,16719,5,6,3,0,0,0,458,567,0,0,7,3,7,5,225023,80003968,13920,199,71,590,26739
#169506,GB04,Greenbushes,Pegmatite,GB04C_01,119Sn,<108.05,202.07,2857.72,109.61,4424.08,<0.049,417.57,1742.61,1653091,298.06,0.0031,0.0115,<0.0065,<0.048,0.0149,<0.0065,3.22,0.51,<0.0275,<0.00299,<0.0120,<0.0071,<0.0194,0.0048,367.58,27723.1,2.06,0.477,0.0099,<0.0184,1.068,61.6,28.72,361.25,13.84,600.97,0.023,26.7,107.16,77596.17,17.53,0.0018,0.0043,0.0031,0.015,0.0086,0.0037,0.17,0.026,0.0096,0.00092,0.0077,0.0023,0.0081,0.0017,12.25,876.7,0.13,0.031,0.0029,0.0062,0.048,108.05,0.704,1.87,1.11,44.21,0.049,0.109,0.0149,0.28,0.265,<0.00000,0.00607,0.00651,0.0481,<0.00000,0.00651,0.0296,0.0043,0.0275,0.00299,0.012,0.00711,0.0194,<0.00000,0.00937,<0.00000,<0.00000,0.013,<0.00000,0.0184,0.00428,0,20742,18034,11189,9462,11,67534,523659,91268056,45493,2,8,2,0,2,2,486,530,0,0,3,0,0,5,123900,29817916,271,259,8,0,1365
#169506,GB04,Greenbushes,Pegmatite,GB04C_02,119Sn,<145.23,407.4,3710.85,157.07,6482.3,<0.061,491.52,2886.13,1941601,508.68,0.0091,0.0087,<0.039,0.019,<0.030,0.0066,3.58,0.58,0.029,<0.0041,<0.040,<0.00,<0.027,0.0038,453.75,40975.44,3.19,0.435,0.0201,0.0123,1.898,93.81,57.88,468.96,19.82,879.8,0.026,31.42,177.46,91138.66,29.89,0.0031,0.0029,0.013,0.011,0.011,0.0031,0.19,0.029,0.013,0.0021,0.015,<0.00,0.012,0.0015,15.11,1295.78,0.18,0.029,0.0046,0.0027,0.079,145.23,0.944,2.38,1.5,55.61,0.0608,0.171,<0.00000,0.351,0.0284,<0.00000,<0.00000,0.0389,<0.00000,0.0297,<0.00000,0.125,<0.00000,0.0218,0.00409,0.0403,<0.00000,0.0266,<0.00000,0.0182,0.00805,<0.00000,<0.00000,0.00494,<0.00000,<0.00000,0,33710,18876,12924,11175,14,64076,699081,86406592,62582,5,5,0,1,0,2,436,486,4,2,0,0,1,3,123281,35524168,339,190,14,12,1956
#169506,GB04,Greenbushes,Pegmatite,GB04C_03,119Sn,<35.51,31.99,689.63,34.51,1264.98,<0.0132,181.91,451.73,528774.06,30.19,<0.0021,<0.00199,<0.0168,<0.0158,<0.00,0.0025,0.942,0.1643,0.0031,<0.0090,<0.0056,<0.00153,0.0108,0.00081,126.59,7857.82,1.282,0.0218,<0.0026,0.00164,0.427,20.71,4.55,87.2,4.36,171.85,0.0061,11.63,27.78,24820.68,1.78,0.0011,0.00085,0.0063,0.0066,<0.00,0.001,0.05,0.0082,0.0018,0.003,0.002,0.00056,0.0045,0.00038,4.22,248.49,0.065,0.0035,0.0013,0.00073,0.018,35.51,0.225,0.569,0.353,14.58,0.0132,0.0379,0.012,0.441,0.00961,0.00209,0.00199,0.0168,0.0158,<0.00000,<0.00000,0.0137,0.00173,<0.00000,0.00898,0.00558,0.00153,0.00636,<0.00000,0.00616,<0.00000,<0.00000,0.00468,0.00265,0.00121,<0.00000,0,10245,13576,10989,8440,11,91781,423465,91072696,14372,3,0,0,0,0,3,444,532,1,0,0,0,5,2,133112,26365356,528,36,6,6,1703
#169506,GB04,Greenbushes,Pegmatite,GB04C_04,119Sn,<48.19,20.96,1212.32,51.49,1799.2,<0.0202,248.44,567.92,680562.5,68.11,<0.0050,<0.0020,0.0026,0.0199,<0.0140,0.0708,1.218,0.205,0.0091,<0.028,<0.0134,<0.0166,<0.0153,<0.0144,151.23,11645.47,1.779,0.0246,0.1493,0.0029,0.624,24.49,2.99,153.25,6.5,244.43,0.0085,15.88,34.92,31945.64,4.01,0.0017,0.0012,0.0013,0.0073,0.0061,0.0071,0.067,0.011,0.0037,0.012,0.0046,0.0061,0.0047,0.0049,5.04,368.27,0.091,0.0041,0.009,0.0015,0.027,48.19,0.305,0.854,0.5,19.28,0.0202,0.0527,0.00959,0.152,0.0189,0.00502,0.00196,0.0021,<0.00000,0.014,<0.00000,<0.00000,0.0072,<0.00000,0.0276,0.0134,0.0166,0.0153,0.0144,0.00427,0.00268,<0.00000,0.00375,0.00329,0.00291,<0.00000,0,4956,17620,12106,8862,1,92540,393045,86536752,23941,0,2,5,5,0,79,423,491,4,0,0,0,0,0,117401,28847154,541,30,301,8,1839
#169506,GB04,Greenbushes,Pegmatite,GB04C_05,119Sn,<37.79,77.51,967.27,53.28,1719.57,<0.0176,204.67,616.06,515286.69,200.13,0.00206,<0.0031,0.027,<0.0143,<0.0137,<0.00,0.936,0.1713,<0.0116,<0.00,<0.0062,<0.00,<0.00,<0.00,132.81,11716.1,4.84,0.322,0.421,0.0152,0.688,19.96,11.01,122.24,6.72,233.39,0.0069,13.08,37.88,24187.53,11.75,0.00076,0.0012,0.0027,0.0053,0.0048,<0.00,0.049,0.0084,0.0038,<0.00,0.0023,<0.00,<0.00,<0.00,4.42,370.5,0.2,0.016,0.018,0.0017,0.028,37.79,0.24,0.659,0.389,14.34,0.0176,0.0434,0.00543,0.114,0.02,<0.00000,0.00314,0.00206,0.0143,0.0137,<0.00000,0.0108,0.00111,0.0116,<0.00000,0.0062,<0.00000,<0.00000,<0.00000,0.00593,0.00152,<0.00000,0.00368,0.00186,0.00095,<0.00000,0,24076,18470,16458,11128,0,100158,560170,86084152,92427,4,0,79,0,0,0,428,539,0,0,0,0,0,0,135454,38130348,1936,530,1115,55,2662
#169508,GB04,Greenbushes,Pegmatite,GB04F_01,119Sn,<55.91,78.33,2105.82,59.99,2353.87,<0.0244,590.16,1530.85,804081.75,8.16,<0.0033,<0.0227,0.00189,<0.035,<0.00,<0.054,1.371,0.244,<0.0116,<0.0194,<0.0062,<0.00278,0.0131,<0.00287,223.32,12095.75,13.7,0.395,0.0141,0.0064,3.2,30.44,11.13,266.06,7.57,319.59,0.0096,37.7,94.13,37743.63,0.5,0.0016,0.0078,0.00078,0.012,<0.00,0.02,0.073,0.012,0.0045,0.007,0.0028,0.00092,0.0064,0.001,7.44,382.51,0.53,0.021,0.0026,0.0016,0.12,55.91,0.356,1.07,0.553,22.88,0.0244,0.0525,0.0109,0.173,<0.00000,0.00329,0.0227,<0.00000,0.0352,<0.00000,0.054,<0.00000,0.00157,0.0116,0.0194,0.00621,0.00278,0.01,0.00287,0.0097,0.00215,<0.00000,0.00521,0.00323,0.00233,<0.00000,0,15917,26308,12122,9966,0,188950,910678,87883560,2464,2,0,3,0,0,0,410,501,0,0,0,0,4,0,149018,25754528,3585,424,24,15,8094
#169508,GB04,Greenbushes,Pegmatite,GB04F_02,119Sn,<44.97,115.65,1894.13,136.66,3410.76,<0.0230,656.62,2587.92,664292.5,31.06,0.00058,<0.0025,<0.00135,0.0036,<0.0090,<0.00,1.255,0.205,<0.0066,<0.00175,<0.0086,0.00034,<0.0160,0.00142,228.1,18699.85,18.22,0.1339,0.317,0.0335,4.24,25.15,16.43,239.31,17.22,462.66,0.0088,41.95,159.11,31181.84,1.84,0.00047,0.001,0.0008,0.0029,0.0036,<0.00,0.066,0.01,0.0035,0.00062,0.0034,0.00028,0.0067,0.00058,7.59,591.35,0.7,0.0096,0.015,0.0031,0.16,44.97,0.296,0.902,0.462,18.03,0.023,0.062,<0.00000,0.138,0.021,<0.00000,0.00251,0.00135,<0.00000,0.00896,<0.00000,<0.00000,<0.00000,0.00656,0.00175,0.0086,<0.00000,0.016,<0.00000,0.00387,0.0103,<0.00000,0.0034,0.00258,0.00186,0.00228,0,28714,28911,33741,17643,0,256854,1880948,88707280,11467,0,0,2,0,0,0,458,515,1,0,0,0,0,3,185960,48646476,5824,176,671,98,13107
#169508,GB04,Greenbushes,Pegmatite,GB04F_03,119Sn,<46.94,125.3,2151.89,122.75,3740.09,<0.030,638.97,2935.46,658713.06,5.7,<0.00,0.00213,0.0028,<0.0210,0.0054,<0.0040,1.108,0.204,0.0039,<0.00,<0.0052,<0.0037,0.0168,<0.00209,200.9,19194.27,23.79,0.0372,0.0086,0.0125,5.41,26.13,17.8,271.85,15.47,507.26,0.011,40.82,180.48,30919.94,0.35,<0.00,0.00087,0.0013,0.0086,0.0031,0.0012,0.06,0.01,0.0023,<0.00,0.0029,0.0012,0.0052,0.00094,6.69,606.98,0.9,0.0049,0.0019,0.0018,0.21,46.94,0.307,0.755,0.479,18.62,0.0296,0.19,0.00647,0.165,<0.00000,<0.00000,<0.00000,0.00246,0.021,<0.00000,0.00401,0.0182,<0.00000,<0.00000,<0.00000,0.00523,0.0037,<0.00000,0.00209,0.00577,<0.00000,0.0147,0.00506,0.00222,0.00113,0.00152,0,31011,32741,30210,19285,0,249149,2126738,87681536,2097,0,3,6,0,1,0,403,510,1,0,2,0,6,1,163265,49773360,7581,48,18,36,16690
#169508,GB04,Greenbushes,Pegmatite,GB04F_04,119Sn,<60.67,141.31,2577.64,271.08,4069.68,<0.024,791.29,3362.66,830305.31,55.91,<0.0049,<0.028,0.006,0.047,<0.0236,0.004,1.613,0.253,<0.031,0.00046,0.0104,<0.0132,<0.0182,0.0028,245.92,21551.62,34.75,0.192,0.1634,0.0727,7.37,39.92,20.08,325.64,34.16,552.05,0.01,50.55,206.75,38974.47,3.3,0.002,0.011,0.0014,0.012,0.0078,0.0016,0.083,0.013,0.011,0.00037,0.0045,0.0045,0.0085,0.0011,8.19,681.53,1.31,0.013,0.0097,0.0052,0.28,60.67,0.391,1.09,0.586,23.45,0.0236,0.0629,0.00809,0.197,0.0195,0.00489,0.0282,<0.00000,<0.00000,0.0236,<0.00000,<0.00000,<0.00000,0.0311,<0.00000,0.00653,0.0132,0.0182,0.00151,0.00883,<0.00000,0.0184,0.00632,0.00196,0.00283,<0.00000,0,27320,30636,52117,16393,10,241028,1903127,86337008,16072,0,0,10,10,0,3,459,495,0,0,5,0,2,6,156114,43656864,8650,196,269,166,17760
#169508,GB04,Greenbushes,Pegmatite,GB04F_05,119Sn,<56.16,148.89,2382.71,574.8,3967.35,<0.025,779.16,3294.97,788652.69,396.5,0.0034,0.0045,0.00246,<0.0194,<0.00,<0.0032,1.275,0.261,<0.0078,<0.00,<0.00,<0.00188,<0.036,<0.0019,243.19,23458.68,40.85,0.139,0.0959,0.0435,8.5,40.5,21.15,301.03,72.41,538.17,0.01,49.77,202.59,37019.29,23.28,0.0012,0.0014,0.0009,0.0069,<0.00,0.0019,0.071,0.013,0.0031,<0.00,<0.00,0.00081,0.013,0.001,8.1,741.84,1.53,0.01,0.0068,0.0038,0.33,56.16,0.335,0.857,0.537,21.68,0.0255,0.0626,0.0104,0.179,0.0251,<0.00000,<0.00000,<0.00000,0.0194,<0.00000,0.00322,0.0253,0.00368,0.00785,<0.00000,<0.00000,0.00188,0.0358,0.00194,0.00655,0.0186,<0.00000,<0.00000,<0.00000,0.00182,0.00244,0,30206,29717,115964,16769,0,249041,1956836,86052392,119604,4,6,4,0,0,2,380,537,0,0,0,0,0,3,161999,49864820,10671,149,166,104,21489
#169508,GB04,Greenbushes,Pegmatite,GB04F_06,119Sn,<27.69,26.17,899.52,32.03,892.47,<0.0143,228.17,582.02,436411.41,6.71,<0.0028,<0.00156,0.00191,<0.00,<0.00,<0.00,0.836,0.1351,0.0019,<0.00,<0.0093,<0.00,<0.0071,<0.00,105,5368.04,3.49,0.1293,0.0048,0.008,0.889,18.01,3.73,113.72,4.05,121.45,0.0064,14.58,35.79,20485.27,0.41,0.0012,0.00048,0.0007,<0.00,<0.00,<0.00,0.048,0.0075,0.0015,<0.00,0.0031,<0.00,0.0034,<0.00,3.5,169.76,0.15,0.0091,0.0013,0.0013,0.036,27.69,0.177,0.562,0.273,10.61,0.0143,0.031,0.00383,0.0908,0.0119,0.00284,0.00156,<0.00000,<0.00000,<0.00000,<0.00000,0.00538,<0.00000,<0.00000,<0.00000,0.00928,<0.00000,0.00705,<0.00000,0.00341,0.00888,0.0087,0.00367,0.00131,<0.00000,<0.00000,0,10956,23149,13334,7783,0,150482,713225,98255728,4177,0,0,7,0,0,0,515,572,1,0,0,0,0,0,144328,23544578,1879,286,17,39,4635
#169517,MY03,Moolyella,Pegmatite,MY03_01,119Sn,<59.88,2.04,553.81,203.62,7114.04,0.384,1654.17,6672.14,744349.63,0.479,<0.0077,0.0051,0.0028,<0.024,<0.0187,<0.0040,1.395,0.228,<0.084,0.0106,0.0427,0.0175,0.373,0.0604,417.91,25507.01,11.34,0.0102,<0.0031,<0.00159,16.15,27.24,0.34,70.15,25.66,964.57,0.033,105.66,410.22,34939.72,0.045,0.0036,0.0016,0.001,0.012,0.0078,0.0018,0.078,0.012,0.034,0.0019,0.0093,0.0026,0.032,0.0049,13.9,806.61,0.45,0.0033,0.0012,0.00071,0.62,59.88,0.401,0.914,0.681,26.16,0.0293,0.0693,<0.00000,0.191,0.0282,0.00774,<0.00000,<0.00000,0.0239,0.0187,0.00396,0.022,0.00262,0.0843,<0.00000,0.0127,0.00231,0.0167,0.00239,0.00571,0.00358,0.0206,0.00501,0.0031,0.00159,0.0243,0,391,6515,38753,28366,244,498771,3738020,76617472,136,7,6,5,3,0,0,392,442,0,21,20,38,113,128,262620,51147444,2795,10,0,0,38511
#169517,MY03,Moolyella,Pegmatite,MY03_02,119Sn,<50.14,1.65,471.99,171.12,6148.44,0.405,1448.02,5967.05,639894.19,0.385,0.0024,0.00263,<0.00,<0.00,0.0118,<0.00,1.125,0.204,0.0189,0.0073,0.0425,0.0153,0.278,0.0561,368.41,21984.24,10.75,0.0049,0.00044,0.00096,14.73,25.58,0.28,59.75,21.56,833.55,0.032,92.49,366.87,30036.57,0.035,0.0013,0.00097,<0.00,<0.00,0.0063,<0.00,0.061,0.01,0.0081,0.0014,0.0075,0.0021,0.023,0.004,12.25,695.21,0.42,0.0023,0.00036,0.00045,0.56,50.14,0.332,0.989,0.536,20.64,0.0241,0.0606,<0.00000,0.154,0.0211,0.00229,<0.00000,<0.00000,<0.00000,0.0111,<0.00000,0.0151,<0.00000,0.0162,<0.00000,0.00866,0.00237,<0.00000,<0.00000,0.00478,0.0168,<0.00000,0.00419,<0.00000,<0.00000,0.0143,0,376,6627,38866,29257,307,521048,3989497,78603400,130,3,4,0,0,3,0,378,472,8,17,24,39,100,142,276291,52608756,3162,5,0,2,41916
#169517,MY03,Moolyella,Pegmatite,MY03_03,119Sn,<63.18,2.04,577.82,210.44,7461.18,0.526,1788.13,7585.13,777083.19,0.426,0.0027,<0.0028,<0.0213,<0.0178,0.013,<0.0042,1.393,0.247,0.056,0.0121,0.0547,0.0193,0.313,0.0608,438.33,25551.16,13.74,<0.0053,<0.0046,0.00171,19,34.88,0.34,73.15,26.52,1011.53,0.041,114.21,466.35,36476.21,0.039,0.0011,0.0015,0.0073,0.0064,0.0053,0.0015,0.074,0.012,0.01,0.0024,0.0089,0.0024,0.027,0.0046,14.58,808.01,0.54,0.0027,0.0018,0.00094,0.73,63.18,0.424,1.06,0.678,26.55,0.0308,0.0781,<0.00000,0.237,0.0133,<0.00000,0.00275,0.0213,0.0178,<0.00000,0.00417,<0.00000,<0.00000,0.0102,0.00331,0.00769,<0.00000,<0.00000,0.00177,0.006,0.0628,<0.00000,0.00526,0.00462,0.00167,<0.00000,0,381,6643,39138,29072,327,526879,4152675,78164080,118,3,2,0,0,3,0,383,468,20,23,26,41,93,126,269174,50068412,3308,4,0,3,44281
#169517,MY03,Moolyella,Pegmatite,MY03_04,119Sn,<63.73,1.67,529,173.26,6457.53,0.441,1618.98,6668.02,754962,0.415,<0.033,<0.0048,<0.0030,<0.031,<0.0140,0.0022,1.356,0.239,0.0381,0.0097,0.0527,0.0161,0.319,0.0523,401.39,21940.09,10.24,0.001,<0.0033,0.00089,16.72,38.75,0.3,67.02,21.84,875.63,0.037,103.41,409.96,35437.88,0.041,0.011,0.0017,0.0013,0.012,0.0061,0.0013,0.076,0.013,0.0084,0.0019,0.0093,0.0023,0.031,0.0044,13.35,693.82,0.41,0.00082,0.0013,0.00052,0.64,63.73,0.429,1.25,0.657,26.4,0.0332,0.0873,0.00959,0.181,0.0298,0.0327,0.0048,0.00297,0.031,0.014,<0.00000,0.0191,<0.00000,<0.00000,<0.00000,0.00775,<0.00000,0.0279,<0.00000,0.0105,<0.00000,<0.00000,<0.00000,0.00329,<0.00000,<0.00000,0,310,6038,31992,24982,272,473633,3624532,75397144,114,0,0,1,0,0,1,370,449,13,18,25,34,94,107,244733,42685636,2449,0,0,1,38684
#169517,MY03,Moolyella,Pegmatite,MY03_05,119Sn,<59.69,1.85,529.6,170.91,6428.8,0.448,1599.01,6513.97,766609.19,0.454,0.312,0.278,0.0577,0.155,<0.027,<0.0040,1.336,0.263,0.0397,0.0058,0.0449,<0.0126,0.308,0.0607,402.44,22452.18,10.42,0.13,0.0023,0.0927,15.64,28.45,0.32,67.06,21.54,871.64,0.036,102.13,400.49,35984.57,0.04,0.017,0.015,0.0049,0.023,0.012,0.0018,0.072,0.013,0.008,0.0018,0.008,0.0045,0.026,0.0046,13.39,710.01,0.41,0.0098,0.0013,0.0058,0.6,59.69,0.401,0.928,0.667,24.71,0.0297,0.0616,<0.00000,0.142,<0.00000,0.00481,0.00376,0.00201,0.0243,0.0268,0.00402,0.0129,<0.00000,<0.00000,0.0032,0.00742,0.0126,<0.00000,0.00242,0.00819,0.00257,<0.00000,<0.00000,0.00223,<0.00000,<0.00000,0,357,6306,32921,25945,288,488001,3693758,79867760,130,413,385,105,33,4,1,381,516,14,11,22,0,94,130,255973,45568996,2598,133,3,212,37750
#169517,MY03,Moolyella,Pegmatite,MY03_06,119Sn,<53.16,1.44,508.2,176.98,6343.91,0.416,1517.36,6476.65,687442.94,0.423,0.01,0.0104,0.0048,<0.0150,<0.0166,<0.0061,1.295,0.213,0.069,0.0072,0.0372,0.0185,0.34,0.0534,382.04,22717.05,10.76,0.009,0.00243,0.0007,16.23,27.71,0.26,64.34,22.3,860.08,0.033,96.92,398.2,32268.51,0.038,0.0026,0.002,0.0016,0.0063,0.007,0.002,0.069,0.011,0.01,0.0017,0.0065,0.0022,0.027,0.0041,12.71,718.38,0.42,0.0025,0.00089,0.00041,0.62,53.16,0.355,0.717,0.565,21.47,0.024,0.0635,<0.00000,0.196,0.0194,0.00422,<0.00000,0.00249,0.015,0.0166,0.0061,0.0113,0.00233,<0.00000,0.00229,<0.00000,<0.00000,<0.00000,0.00212,0.00718,0.00779,<0.00000,0.00315,<0.00000,<0.00000,0.0151,0,310,6721,37866,28437,297,514352,4079215,79549496,135,14,16,9,0,0,0,410,463,28,16,20,45,116,127,269904,51211340,2980,10,4,1,43506
#169517,MY03,Moolyella,Pegmatite,MY03_07,119Sn,<55.08,2.13,572.42,205.65,7354.88,0.565,1712.83,7238.31,747778.38,0.706,0.0077,0.0039,0.003,<0.034,<0.0120,<0.0036,1.217,0.227,0.065,0.0104,0.0606,0.0242,0.337,0.0646,428.97,26054.41,13.99,0.0119,<0.034,<0.0069,18.61,27.1,0.35,72.47,25.91,997.14,0.043,109.4,445.03,35100.65,0.057,0.0024,0.0013,0.001,0.012,0.0037,0.0016,0.068,0.012,0.011,0.0022,0.0089,0.0029,0.028,0.0048,14.27,823.92,0.55,0.0044,0.013,0.0024,0.71,55.08,0.373,1.04,0.586,26.07,0.0257,0.065,<0.00000,0.135,0.0162,0.00353,<0.00000,<0.00000,0.0345,0.012,0.00361,<0.00000,0.00292,0.00881,0.00287,<0.00000,0.00258,<0.00000,0.00154,<0.00000,0.0453,<0.00000,0.00853,0.0336,0.00693,0.0219,0,435,7195,41813,31331,384,551758,4332381,82231224,214,10,5,5,0,0,0,366,471,25,22,31,56,109,146,287996,55815988,3682,12,0,0,47406
#169517,MY03,Moolyella,Pegmatite,MY03_08,119Sn,<59.67,2.04,551.19,305.58,7458.49,0.539,1686.08,7466.18,730961.5,0.504,<0.0072,0.013,0.0042,0.09,0.0183,0.0523,1.203,0.241,0.059,0.0131,0.039,0.022,0.392,0.0587,428.51,26592.98,13.58,0.0183,<0.055,<0.0120,19.16,31.63,0.34,69.81,38.5,1011.22,0.043,107.69,459.04,34311.28,0.046,0.0031,0.0026,0.0015,0.02,0.0067,0.0066,0.07,0.013,0.01,0.0025,0.0099,0.003,0.032,0.0047,14.26,840.95,0.53,0.0038,0.025,0.0048,0.73,59.67,0.38,0.957,0.603,23.8,0.0306,0.0501,0.0127,0.162,0.0177,0.00719,<0.00000,0.00197,0.0238,<0.00000,0.00393,0.0179,0.00184,<0.00000,0.00313,0.0162,0.00325,<0.00000,0.00168,0.00801,0.00251,0.0204,0.00351,0.0553,0.012,0.00149,0,392,6530,58563,29948,345,511951,4212137,75765784,144,2,18,7,19,5,47,341,470,22,25,19,48,119,125,271166,53698128,3371,18,0,0,46018
#169517,MY03,Moolyella,Pegmatite,MY03_10,119Sn,<137.50,<0.92,795.57,91,4309.49,0.505,2175.58,3963.27,2016662.75,1.17,3.42,4.18,0.428,1.47,0.256,0.0057,3.38,0.57,0.046,0.0125,0.051,0.0127,0.117,0.0194,669.28,13587.85,3.96,1.921,0.0519,0.525,8.81,77.05,0.41,101.02,11.51,585.95,0.053,138.98,243.69,94663.08,0.11,0.15,0.18,0.026,0.12,0.041,0.0033,0.19,0.03,0.02,0.0041,0.015,0.0035,0.028,0.004,22.28,429.71,0.22,0.09,0.0076,0.027,0.35,137.5,0.916,2.38,1.45,55.71,0.0508,0.169,0.0204,0.702,0.0402,<0.00000,<0.00000,0.00773,<0.00000,<0.00000,<0.00000,0.0574,<0.00000,0.0308,0.00579,0.0165,0.00368,0.0266,<0.00000,0.0257,0.066,<0.00000,<0.00000,<0.00000,<0.00000,0.00339,0,74,4045,7485,7426,138,283515,959641,89714664,144,1935,2476,334,134,29,2,411,477,7,10,10,12,15,17,181774,11775906,422,841,36,513,9082
