SPOT_ID,SAMPLE,LOCALITY,STYLE,Date LAICP,IS,Element,Sc45,Ti49,Mn55,Fe57,Ga69,Y89,Zr90,Nb93,Sn119,Sb121,Ce140,Yb173,Hf178,Ta181,W183,Pb208,Th232,U238,Sc45_Int2SE,Ti49_Int2SE,Mn55_Int2SE,Fe57_Int2SE,Ga69_Int2SE,Y89_Int2SE,Zr90_Int2SE,Nb93_Int2SE,Sn119_Int2SE,Sb121_Int2SE,Ce140_Int2SE,Yb173_Int2SE,Hf178_Int2SE,Ta181_Int2SE,W183_Int2SE,Pb208_Int2SE,Th232_Int2SE,U238_Int2SE,Sc45_LOD,Ti49_LOD,Mn55_LOD,Fe57_LOD,Ga69_LOD,Y89_LOD,Zr90_LOD,Nb93_LOD,Sn119_LOD,Sb121_LOD,Ce140_LOD,Yb173_LOD,Hf178_LOD,Ta181_LOD,W183_LOD,Pb208_LOD,Th232_LOD,U238_LOD
hg1-1-9 ,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HG-56,<1.08,238.03,83.38,1361.91,2.12,<0.061,269.59,613.14,776937.63,0.289,<0.0070,<0.030,143.46,13520.46,0.111,<0.0130,<0.0036,0.0232,0.9,35.56,11.76,329.2,0.6,0.048,33.1,64.86,36142.46,0.054,0.0058,0.024,6.32,583.68,0.034,0.0112,0.003,0.004,1.08,2.92,1.02,94.13,0.578,0.0614,0.134,0.0393,0.257,0.0485,0.00697,0.0303,0.0101,0.00341,0.0324,0.013,0.00362,0.00299
hg1-1-11 ,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HG-58,<1.15,252.49,228.69,3020.59,5.88,<0.062,645.93,7756.83,758081.38,0.392,<0.0063,<0.030,132.08,12943.29,11.47,<0.0134,<0.0044,2.981,0.94,37.64,32.14,713.1,1.08,0.048,79.24,820.24,35265.28,0.06,0.0052,0.024,5.82,558.76,0.56,0.0108,0.0032,0.144,1.15,2.98,1.03,97.27,0.587,0.0624,0.139,0.0312,0.444,0.0506,0.0063,0.0299,0.0141,0.00505,0.037,0.0134,0.00439,0.00229
hg1-1-13 ,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HG-60,<1.39,209.89,22.58,663.04,1.32,<0.071,840.52,519.05,781338.25,0.333,<0.0084,<0.032,199.56,6836.84,0.131,0.0454,0.0037,0.1323,1.12,31.56,3.36,183.28,0.62,0.058,103.12,54.92,36347.22,0.066,0.0068,0.028,8.78,295.14,0.038,0.0142,0.0034,0.01,1.39,3.67,1.27,118.59,0.71,0.0709,0.162,0.0513,0.368,0.0622,0.00842,0.0325,0.0124,0.00394,0.0334,0.0148,0.00371,0.00302
hg1-1-14 ,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HG-61,<1.36,229.2,14.46,527.02,1.55,<0.069,799.73,453.23,781443.06,0.25,<0.0078,<0.029,185.73,5836.84,0.179,<0.0153,<0.0034,0.1499,1.1,34.36,2.3,155.88,0.64,0.056,98.12,47.96,36352.1,0.064,0.0064,0.024,8.18,251.98,0.038,0.0126,0.0028,0.0108,1.36,3.56,1.25,116.81,0.722,0.0685,0.168,0.0497,0.339,0.0639,0.00783,0.0285,0.0127,0.00507,0.0268,0.0153,0.00343,0.00321
hg1-1-7 ,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HG-54,<1.11,312.47,431.6,4956.03,7.08,<0.055,853.99,13857.89,763059.25,0.321,<0.0066,<0.026,180.4,23607.25,17.43,0.0121,<0.0028,4.57,0.94,46.48,60.64,1165.3,1.24,0.044,104.76,1465.36,35496.86,0.058,0.0058,0.022,7.94,1019.12,0.84,0.0086,0.002,0.22,1.11,3.02,1.01,94.62,0.564,0.0555,0.113,0.0331,0.294,0.0532,0.00664,0.0265,0.00979,0.00253,0.0301,0.00976,0.00277,0.00265
hg1-1-1 ,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HG-48,<1.08,131.25,15.39,350.38,1.67,<0.054,337.92,455.59,787862.38,0.372,0.0092,<0.029,87.32,3348.63,1.042,0.0612,0.0044,0.444,0.9,19.86,2.34,111.64,0.54,0.046,41.48,48.2,36650.66,0.056,0.0054,0.022,3.84,144.56,0.084,0.012,0.0034,0.024,1.08,2.97,1.01,93.09,0.56,0.0544,0.111,0.0407,0.28,0.0462,0.00594,0.0285,0.00876,0.00337,0.0345,0.011,0.0038,0.00234
hg1-1-2 ,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HG-49,<1.11,135.56,28.19,352.22,2.54,2.78,394.9,720.47,775559.19,0.454,0.2031,0.319,94.32,3254.3,0.892,1.19,1.379,2.052,0.9,20.46,4.06,112.84,0.62,0.32,48.46,76.2,36078.32,0.064,0.0164,0.036,4.16,140.5,0.076,0.068,0.068,0.1,1.11,2.83,1.04,96.17,0.56,0.0536,0.118,0.0368,0.273,0.0534,0.0072,0.0266,0.00941,0.00366,0.0307,0.0104,0.00216,0.00213
hg1-1-3 ,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HG-50,<1.12,217.1,254.2,3098.08,4.72,<0.054,684.39,6409.9,751118.44,0.352,<0.0069,<0.027,164.78,18373.39,6.89,0.0147,<0.0025,2.446,0.9,32.44,35.72,731.04,0.92,0.044,83.96,677.8,34941.36,0.058,0.0056,0.022,7.24,793.18,0.36,0.0084,0.0022,0.118,1.12,3.09,1.05,96.73,0.602,0.0539,0.131,0.0431,0.34,0.0523,0.00691,0.0267,0.00919,0.00322,0.0213,0.00955,0.00249,0.00202
hg1-1-5 ,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HG-52,<1.00,252.31,320.74,3879.54,6.42,<0.054,755.67,10022.09,752213.38,0.345,<0.0067,<0.025,176.42,20615.19,12,0.011,<0.0023,3.87,0.84,37.64,45.06,913.2,1.14,0.044,92.7,1059.76,34992.32,0.054,0.0058,0.02,7.76,889.96,0.6,0.0082,0.002,0.186,0.998,2.81,0.949,86.58,0.522,0.0541,0.11,0.0346,0.281,0.041,0.00666,0.0247,0.00774,0.00349,0.0223,0.00915,0.00226,0.00199
hg,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HGa,<1.29,285.09,313.19,3357.89,8.39,<0.070,301.64,5944.37,787649.69,0.278,0.0097,<0.033,131.54,22367.75,15.66,0.236,0.074,0.1568,1.02,42.52,44.02,793.04,1.46,0.052,37.04,628.58,36640.8,0.06,0.0072,0.026,5.8,965.6,0.76,0.022,0.007,0.0108,1.29,3.56,1.23,112.25,0.659,0.0697,0.157,0.0474,0.34,0.0586,0.00835,0.0334,0.0122,0.00233,0.0299,0.0127,0.00283,0.00234
hg,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HGa2,<1.13,233.93,69.35,1975.56,6,<0.057,384.98,2471.19,787649.63,0.299,<0.0079,<0.025,147.15,16260.79,2.57,0.0141,<0.0027,0.904,0.94,35.02,9.8,471.22,1.1,0.044,47.26,261.34,36640.8,0.058,0.0066,0.022,6.48,701.98,0.164,0.0098,0.0024,0.046,1.13,3.04,1.09,98.75,0.599,0.0567,0.134,0.042,0.314,0.051,0.00786,0.0249,0.00975,0.00373,0.0295,0.0108,0.00269,0.00218
hg,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HGb,<1.26,219.94,62.43,1569.23,4.82,<0.058,966.97,1735.24,787649.69,0.228,0.0102,<0.033,235.5,13508.7,1.413,0.0241,0.0054,0.857,1,32.92,8.84,378.64,0.96,0.046,118.62,183.5,36640.78,0.058,0.0076,0.026,10.36,583.16,0.104,0.0112,0.0028,0.044,1.26,3.39,1.22,110.35,0.665,0.0585,0.151,0.0531,0.369,0.0617,0.00899,0.0334,0.0119,0.00336,0.0289,0.0128,0.00301,0.00237
hg,HG1,Hang Gong,Pegmatite,19/08/2009,119Sn,HGc,<1.34,345.03,591.15,6479.76,7.51,<0.075,1037.05,17781.65,787649.69,0.304,<0.0092,<0.029,233.02,34467.37,23.81,<0.0136,<0.0036,7.98,1.06,51.32,83.04,1522.88,1.34,0.058,127.2,1880.28,36640.78,0.066,0.007,0.024,10.24,1487.94,1.14,0.0108,0.0026,0.38,1.34,3.75,1.29,116.74,0.724,0.0752,0.143,0.0541,0.399,0.0666,0.00919,0.0294,0.0119,0.00381,0.036,0.0136,0.00355,0.00278
P2-2 ,P2,Moolyella,Pegmatite,19/08/2009,119Sn,P-71,<1.06,204.15,1653.44,3389.07,11.79,0.613,1713.44,5600.13,738153.88,0.343,<0.0074,0.149,485.44,37807.72,5.68,0.0439,<0.0028,4.55,0.86,30.56,232.2,798.88,1.94,0.094,210.14,592.18,34338.28,0.056,0.0062,0.028,21.34,1632.14,0.3,0.011,0.0024,0.22,1.06,2.98,1.04,93.29,0.559,0.0492,0.133,0.0362,0.313,0.0474,0.00737,0.0242,0.00879,0.00326,0.0308,0.0109,0.00282,0.00216
P2-3 ,P2,Moolyella,Pegmatite,19/08/2009,119Sn,P-72,<1.10,189.44,1125.35,2775.63,14.25,24.38,1353.03,5114.23,751709.13,0.387,4.75,0.863,354.71,27334.45,7.5,0.258,9.86,42.86,0.86,28.38,158.04,655.98,2.32,2.62,165.94,540.8,34968.84,0.06,0.22,0.062,15.58,1180.02,0.38,0.022,0.46,2.02,1.1,3.03,1.09,97.79,0.587,0.0547,0.146,0.0396,0.316,0.0508,0.00752,0.0263,0.0117,0.00351,0.0223,0.0101,0.00308,0.00253
P2-4 ,P2,Moolyella,Pegmatite,19/08/2009,119Sn,P-73,<1.06,172.11,954.82,2315.3,12.79,0.305,1152.09,4115.77,754568.44,0.283,<0.0073,0.073,327.55,23371.86,5.18,0.0183,<0.0028,2.494,0.86,25.84,134.1,548.7,2.1,0.066,141.3,435.22,35101.86,0.054,0.006,0.024,14.4,1008.96,0.28,0.009,0.0022,0.122,1.06,2.83,1.04,93.25,0.566,0.053,0.134,0.0436,0.328,0.0484,0.0073,0.0248,0.00969,0.0036,0.0248,0.00982,0.00281,0.00207
star trek-2-1 ,Borg2,Borgamba,Greisen,19/08/2009,119Sn,Borg-98,<1.12,11.64,<1.11,1064.35,2.97,<0.057,10.67,5.28,786783.25,0.894,0.0119,<0.031,0.449,0.1393,401.81,0.033,0.0069,1.624,0.88,3.18,0.88,261.94,0.7,0.044,1.36,0.58,36600.46,0.088,0.0064,0.024,0.032,0.0102,18.5,0.0098,0.0028,0.08,1.12,3.08,1.11,98.85,0.612,0.0567,0.136,0.0486,0.321,0.0528,0.00711,0.031,0.00979,0.00362,0.02,0.0103,0.00284,0.00232
star trek-2-2 ,Borg2,Borgamba,Greisen,19/08/2009,119Sn,Borg-99,<1.14,1044.56,<1.16,<101.78,<0.62,0.084,102.88,23.62,791509.13,0.523,0.0186,0.032,6.98,8.8,3.266,0.0191,0.0398,2.151,0.9,154.22,0.94,80.16,0.5,0.05,12.66,2.52,36820.3,0.068,0.0078,0.024,0.32,0.38,0.19,0.0106,0.0048,0.104,1.14,2.98,1.16,101.78,0.625,0.0575,0.136,0.0473,0.343,0.0509,0.00846,0.0276,0.0104,0.00301,0.0332,0.0124,0.00273,0.00205
star trek-2-3 ,Borg2,Borgamba,Greisen,19/08/2009,119Sn,Borg-100,3.66,3.57,<1.14,258.71,<0.63,<0.054,11.51,<0.050,780167,0.524,<0.0081,<0.029,0.404,<0.0034,7571.5,0.0142,<0.0033,2.77,1.08,2.64,0.92,100.64,0.52,0.044,1.46,0.04,36292.68,0.07,0.0066,0.024,0.03,0.0028,347.92,0.0098,0.0024,0.134,1.12,3.13,1.14,100.16,0.625,0.0542,0.144,0.0497,0.352,0.0552,0.00811,0.0289,0.00874,0.00336,0.0337,0.0112,0.00326,0.00253
star trek-2-6 ,Borg2,Borgamba,Greisen,19/08/2009,119Sn,Borg-103,<1.07,<2.97,<1.10,1959.19,5.24,<0.052,11.15,<0.042,792745.81,1.238,<0.0078,0.066,0.354,<0.0034,37.62,0.0136,<0.0029,1.791,0.86,2.36,0.88,466.22,0.98,0.042,1.42,0.034,36877.82,0.108,0.0064,0.022,0.028,0.0028,1.78,0.0096,0.0022,0.088,1.07,2.97,1.1,95.68,0.591,0.0523,0.141,0.0424,0.336,0.0503,0.0078,0.0242,0.00989,0.00345,0.0282,0.0112,0.00289,0.00196
star trek-2-4 ,Borg2,Borgamba,Greisen,19/08/2009,119Sn,Borg-101,<1.14,<3.18,<1.17,300.29,1.55,<0.055,11.73,<0.050,792627.63,0.582,<0.0089,0.044,0.3,0.0043,6911.33,0.0406,<0.0032,4.28,0.9,2.5,0.92,106.74,0.56,0.046,1.48,0.04,36872.32,0.07,0.007,0.024,0.024,0.0028,317.58,0.0104,0.0026,0.2,1.14,3.18,1.17,101.35,0.607,0.0551,0.154,0.0499,0.364,0.0497,0.00887,0.0282,0.00984,0.00298,0.0215,0.0105,0.0032,0.00288
star trek-4-3 ,Borg4,Borgamba,Greisen,19/08/2009,119Sn,Borg-111,<1.12,1218.67,<1.15,<100.03,<0.62,<0.061,117.08,540.89,792729.94,0.339,<0.0083,<0.030,6.01,26.7,15.09,0.0258,<0.0030,0.687,0.9,179.84,0.92,88.1,0.48,0.048,14.4,57.22,36877.08,0.06,0.0066,0.024,0.28,1.16,0.74,0.0098,0.0024,0.036,1.12,3.11,1.15,100.03,0.62,0.0614,0.147,0.0486,0.374,0.0574,0.00831,0.0304,0.0111,0.00375,0.0357,0.0107,0.00296,0.00272
star trek-4-2 ,Borg4,Borgamba,Greisen,19/08/2009,119Sn,Borg-110,<1.05,<2.88,<1.08,415.05,0.74,<0.052,2.27,<0.044,783002.56,0.413,<0.0075,<0.026,0.0353,0.0062,9544.71,0.0284,<0.0026,2.318,0.88,2.4,0.9,124.86,0.52,0.042,0.34,0.038,36424.62,0.062,0.0062,0.024,0.0108,0.0026,438.58,0.0098,0.0022,0.114,1.05,2.88,1.08,92.95,0.585,0.0521,0.123,0.0442,0.358,0.0468,0.00752,0.0261,0.00943,0.0024,0.0265,0.00978,0.00256,0.00258
